# Time-averaged data for fix output_pressure
# TimeStep v_pxx v_pyy v_pzz v_pxy v_pxz v_pyz c_thermo_press
2000 -1.41756 -0.973828 -0.0282235 -0.0322317 0.0956177 -0.66716 -0.806536
3000 0.271017 0.533757 0.924432 0.317591 -0.086332 0.173895 0.576402
4000 -0.607345 -0.3808 -0.268063 0.430744 0.105526 0.106663 -0.418736
5000 -1.43525 -1.0845 -0.811501 -0.260393 -0.0258266 0.305 -1.11042
6000 -0.634011 -0.783403 -0.5944 0.238261 0.478301 -0.18915 -0.670605
7000 -0.522882 0.0281369 0.0523461 0.177456 0.372064 0.867111 -0.147466
8000 -1.24673 -0.783665 -0.529175 0.458175 0.0742847 -0.428062 -0.85319
9000 0.84932 0.357719 0.165648 -0.135503 0.551646 -0.0822558 0.457562
10000 0.450155 -0.0198364 0.0212336 0.492876 0.214872 -0.34119 0.150517
11000 0.277566 -0.0868679 0.607482 0.165754 0.130252 0.0182368 0.26606
12000 0.763456 -0.188218 -0.00424324 0.118811 -0.216678 0.390954 0.190332
13000 0.543136 -0.155511 0.132206 -0.160459 0.187445 0.0870262 0.173277
14000 -0.269516 -0.506134 -0.0338544 -0.354622 0.240025 0.247635 -0.269835
15000 -0.403403 -0.664387 0.747058 -0.273345 -0.244181 -0.129425 -0.106911
16000 -1.124 0.414042 -0.288985 -0.036146 0.0376561 -0.163794 -0.332981
17000 0.147113 0.611674 0.369591 -0.448315 0.184799 0.257278 0.376126
18000 0.0578885 -0.338464 0.697969 -0.360794 0.0372801 -0.0164628 0.139131
19000 1.14721 0.907101 0.629215 -0.733247 -0.0368051 -0.0400418 0.89451
20000 -0.610383 -0.565647 -0.10762 -0.475731 -0.222158 0.524826 -0.427883
21000 -0.897436 -0.543026 -0.0167396 -0.0246159 0.291332 0.353184 -0.485734
22000 0.775893 0.255281 -0.342163 -0.382061 -0.467879 -0.212313 0.22967
23000 0.878911 -0.424153 0.431238 0.299862 0.176323 -0.160792 0.295332
24000 -0.099362 0.0511959 0.129831 -0.254532 0.274952 -0.229632 0.0272218
25000 0.937279 -0.559185 0.302339 0.00823154 -0.0175463 -0.138996 0.226811
26000 0.184414 -0.158021 0.0554925 0.229237 -0.103054 0.032381 0.0272954
27000 0.480342 0.389263 0.900113 -0.0181078 0.332305 0.117587 0.589906
28000 -0.103608 -0.192194 -0.146599 0.014198 -0.0353993 -0.062289 -0.147467
29000 -0.400461 -0.470066 0.22164 -0.0398284 -0.243732 0.0172911 -0.216296
