# Time-averaged data for fix output_pressure
# TimeStep v_pxx v_pyy v_pzz v_pxy v_pxz v_pyz c_thermo_press
2000 -0.363868 -0.497721 -0.435878 -0.0217839 0.263983 -0.0194791 -0.432489
3000 -1.0673 -0.563781 -0.129918 0.094634 0.112723 0.503059 -0.586998
4000 -0.57103 0.0405428 -0.135271 0.468873 -0.210516 -0.170908 -0.221919
5000 -0.823698 -0.229489 0.338057 0.122078 0.220282 0.177654 -0.238377
6000 -0.399845 -0.461518 0.112303 0.220901 0.180335 -0.0429433 -0.249687
7000 -0.388321 0.227696 -0.213439 0.358135 0.0740233 -0.123312 -0.124688
8000 0.290604 0.28792 0.547661 -0.0832676 -0.256136 0.159389 0.375395
9000 -0.250846 0.285946 0.10433 0.0800772 0.0878817 -0.131986 0.0464768
10000 -0.355875 0.261969 0.682243 0.0629683 -0.126576 -0.39085 0.196112
11000 0.395484 -0.0162432 -0.0436553 -0.136899 0.219159 -0.0145408 0.111862
12000 0.209903 0.0214681 -0.255272 0.0306169 -0.122408 0.0383965 -0.00796695
13000 -0.31008 -0.170772 0.436275 -0.0511318 0.0327259 -0.123814 -0.0148592
14000 0.195578 0.16874 0.77368 0.251072 0.126096 -0.0796618 0.379333
15000 -0.261396 -0.165843 0.250917 0.0824168 0.0434137 -0.0547286 -0.0587741
16000 -0.0384908 0.0346629 0.503975 0.232543 0.247617 -0.0697338 0.166716
17000 0.278043 0.072813 0.249194 0.0491171 0.0811457 0.108197 0.200017
18000 -0.133956 -0.133008 0.217659 -0.155663 0.180682 -0.117455 -0.0164351
19000 -0.00448927 0.0650499 0.575636 -0.151288 0.0557316 -0.0221319 0.212065
20000 0.425945 0.375895 0.209757 -0.151383 0.301163 0.338377 0.337199
21000 0.132877 0.401464 0.326945 -0.239274 -0.0502416 -0.0402205 0.287095
22000 0.1326 0.903652 1.12074 -0.0980669 0.0101516 -0.277566 0.718999
23000 0.685124 0.152722 0.51343 0.35588 0.081124 -0.0574744 0.450426
24000 0.926936 0.373005 0.56246 0.235074 0.2791 -0.231235 0.6208
25000 0.0432925 -0.0884383 0.377058 0.249942 -0.10727 0.00376443 0.110637
26000 0.349396 0.260052 0.481243 -0.132331 -0.00728096 0.0293187 0.363564
27000 0.0462232 0.204392 0.179813 0.0561967 0.246654 0.127905 0.143476
28000 -0.0345422 0.247868 -0.21116 0.195498 -0.101901 0.00341528 0.000721875
29000 0.0879096 0.539977 0.632833 -0.156115 0.132673 -0.0488328 0.42024
30000 0.607423 0.114108 0.566763 0.0785071 -0.0405395 0.0922897 0.429431
31000 0.285105 0.554682 0.419674 -0.0448843 0.0533485 -0.0706702 0.41982
32000 -0.569864 -0.204434 -0.309324 -0.0535458 0.0467448 0.13526 -0.361207
33000 0.179065 0.22944 0.234316 0.205757 -0.00704443 -0.172963 0.214274
34000 0.114472 0.169761 0.429007 0.0779925 -0.113657 0.0627677 0.237747
35000 0.107255 -0.37152 -0.360877 0.216995 0.0156306 -0.0527168 -0.208381
36000 0.339209 0.469294 0.330417 -0.16712 0.290603 0.0276275 0.37964
