# Time-averaged data for fix output_pressure
# TimeStep v_pxx v_pyy v_pzz v_pxy v_pxz v_pyz c_thermo_press
2000 -0.219039 0.105419 -0.360256 0.00871246 -0.152467 -0.0176809 -0.157959
3000 -0.313419 -0.014474 -0.246234 -0.0690689 0.340817 -0.111365 -0.191376
4000 -0.859227 -0.316455 -0.309264 0.17355 0.444452 -0.00263894 -0.494982
5000 -0.432707 0.0322302 -0.189912 0.0128904 0.121243 0.27708 -0.196796
6000 0.225055 -0.0134699 0.189154 -0.243164 0.176586 0.143706 0.13358
7000 -0.513552 0.52363 -0.103175 0.178501 0.569169 0.0640289 -0.0310322
8000 -0.668061 -0.1095 0.245841 -0.123446 0.0676834 -0.244188 -0.17724
9000 -0.0977195 0.190134 -0.0644456 0.0874595 -0.000551244 -0.0231916 0.00932291
10000 0.357886 -0.0930814 -0.00839592 0.00469157 -0.189539 -0.350033 0.0854696
11000 -0.261274 0.333202 0.373525 -0.0373909 0.00872913 -0.11194 0.148485
12000 -0.231028 0.347285 0.543061 0.0607004 0.0369985 -0.167122 0.219773
13000 0.129036 0.282241 0.193918 0.239124 0.0708399 -0.160378 0.201731
14000 -0.580879 -0.427129 -0.672727 -0.0686676 0.217105 -0.285862 -0.560245
15000 -0.1927 -0.22315 -0.141964 -0.155672 0.297353 -0.153309 -0.185938
16000 0.228436 -0.0627913 -0.399193 0.193879 -0.431591 0.215104 -0.0778497
17000 0.461231 -0.123727 0.398744 0.114448 -0.104579 0.0550146 0.245416
18000 -0.23845 -0.00059354 -0.124544 -0.0148356 -0.13865 0.0642174 -0.121196
19000 0.0760321 0.498799 0.100963 0.20413 0.329722 -0.0138444 0.225265
20000 0.471717 0.129572 0.142683 -0.0389353 0.0135092 0.22287 0.247991
21000 0.165248 0.332504 0.0665315 0.347862 -0.313818 0.172079 0.188095
22000 0.43306 0.534894 0.420274 0.0216027 0.0980165 -0.112359 0.462743
23000 0.277205 0.77326 0.73072 -0.0271292 0.377774 0.0307416 0.593728
24000 0.297865 0.181033 0.14567 0.0493416 0.267739 0.33043 0.20819
25000 0.00886435 0.357483 0.139599 -0.239524 0.410897 0.0907185 0.168649
26000 -0.0434716 0.558962 0.00617607 -0.259646 0.0379593 0.222995 0.173889
27000 0.459418 0.578991 0.179203 -0.195099 0.107963 0.0408126 0.405871
28000 0.3909 0.292736 0.305054 -0.0212632 0.322117 0.0293905 0.329563
29000 -0.240246 -0.553992 -0.425536 0.0515264 0.0749642 0.0857101 -0.406591
30000 0.186671 -0.226437 0.0126898 -0.163445 -0.121644 -0.00968526 -0.00902519
31000 0.601137 0.208655 0.898267 -0.202472 -0.163921 0.142146 0.569353
32000 0.533619 0.0433083 0.846069 -0.00374882 -0.17016 -0.0639798 0.474332
33000 0.467996 -0.118276 -0.373696 0.221242 0.15202 -0.264349 -0.0079919
34000 0.131011 0.0566859 -0.00245868 0.0182915 0.435917 -0.335295 0.0617462
35000 0.555358 -0.231813 0.409685 -0.0714515 0.406331 -0.0368358 0.24441
36000 0.0593375 -0.302749 -0.411834 -0.0324488 0.0331147 0.436595 -0.218415
37000 0.164918 0.37266 -0.0292961 -0.149039 0.318442 0.0347431 0.169427
38000 0.132354 0.574428 0.308922 0.0446774 0.0458483 -0.0446544 0.338568
39000 0.109815 -0.270525 0.411627 0.144696 -0.195475 -0.27682 0.0836389
40000 0.0736709 0.347706 0.381488 0.0259459 0.062762 -0.0100558 0.267622
