# Time-averaged data for fix output_pressure
# TimeStep v_pxx v_pyy v_pzz v_pxy v_pxz v_pyz c_thermo_press
2000 -0.792256 -0.00523844 0.166641 0.224089 -0.228356 0.385447 -0.210284
3000 -0.458523 -0.338503 -0.380468 -0.140218 -0.0551244 -0.311493 -0.392498
4000 -0.380123 -0.15994 0.303451 -0.00601025 0.03785 -0.0751656 -0.0788706
5000 -1.07286 0.102217 -0.479802 0.0626781 0.0390099 -0.427272 -0.483482
6000 -0.973384 -0.867104 -0.221822 0.301889 -0.378306 0.152725 -0.687437
7000 -0.625653 0.26353 0.579154 -0.515175 -0.411415 -0.107435 0.0723438
8000 0.187778 -0.113437 -0.0556088 0.126055 0.184826 0.188066 0.006244
9000 0.159968 0.146594 0.205764 -0.429313 0.159131 0.0521693 0.170775
10000 -0.152397 0.0159835 -0.207314 0.0249947 -0.0284032 0.100526 -0.114576
11000 0.482288 0.202854 -0.148413 -0.20637 -0.0147386 -0.177843 0.17891
12000 0.44356 -0.0319328 -0.114007 0.0925608 0.0125121 0.154157 0.0992066
13000 -0.0776053 -0.175756 0.0362639 -0.0723191 -0.0335054 0.141892 -0.0723657
14000 -0.174198 0.400714 0.109402 -0.254717 0.058085 0.172428 0.111973
15000 0.255888 -0.0900933 0.677908 0.242441 -0.138758 0.038461 0.281234
16000 0.35806 0.0708461 0.467503 -0.414531 0.0346884 -0.169651 0.298803
17000 -0.396106 -0.30768 0.219639 0.217826 0.334985 -0.0107398 -0.161382
18000 0.0722744 0.111941 0.162534 0.0758168 0.182435 0.0283005 0.115583
19000 0.230624 0.325912 0.571472 0.111891 0.176046 0.163288 0.376002
20000 0.25083 0.0436307 0.433624 0.0148551 -0.031594 0.070133 0.242695
21000 0.121016 0.442629 -0.156954 -0.107225 -0.109227 -0.0140772 0.135564
22000 -0.223724 0.197162 0.455108 0.143257 0.0929775 -0.120122 0.142849
23000 -0.243262 -0.00280665 0.255247 -0.610065 -0.135452 -0.0107445 0.00305966
24000 0.212613 0.0227702 0.145985 -0.000506615 0.492294 -0.0335581 0.127123
25000 0.217359 0.0722491 0.054225 0.0981771 0.130238 0.0291994 0.114611
26000 0.605524 0.25425 0.569099 0.129046 0.387437 0.0878892 0.476291
27000 -0.0513692 0.0446691 0.703736 0.145143 0.0380263 0.218741 0.232345
28000 0.261777 0.0514524 0.0624534 -0.131618 0.0519343 0.280617 0.125228
29000 -0.211362 0.513716 0.268334 -0.0705826 -0.248961 0.259654 0.190229
30000 0.103695 0.0734592 0.393867 0.041126 0.158324 -0.14107 0.19034
31000 0.315239 0.413584 0.764271 0.262402 0.00721716 0.148623 0.497698
32000 -0.0596306 0.111381 0.79702 0.32378 -0.0122195 0.0726236 0.282924
33000 -0.152419 0.275145 0.312641 -0.0956249 -0.171124 0.0702862 0.145122
34000 0.136562 0.264266 0.15012 0.0931222 -0.0940445 -0.0901941 0.183649
35000 0.63218 0.2721 0.113783 -0.138537 0.0648225 -0.218461 0.339354
