# Time-averaged data for fix state_variables
# TimeStep c_thermo_temp v_vol v_rho v_etotal v_a v_b v_c
2000 292.278 1.96769e+07 0.0037202 5134.86 269.972 269.972 269.972
3000 292.975 1.96721e+07 0.00372111 5181.6 269.95 269.95 269.95
4000 293.957 1.96672e+07 0.00372203 5227.53 269.928 269.928 269.928
5000 292.293 1.96624e+07 0.00372295 5210.87 269.906 269.906 269.906
6000 294.15 1.96575e+07 0.00372387 5258.78 269.883 269.883 269.883
7000 292.041 1.96527e+07 0.00372479 5217.58 269.861 269.861 269.861
8000 292.81 1.96478e+07 0.00372571 5224.26 269.839 269.839 269.839
9000 290.707 1.9643e+07 0.00372663 5213.04 269.817 269.817 269.817
10000 294.545 1.96381e+07 0.00372755 5277.86 269.795 269.795 269.795
11000 295.336 1.96333e+07 0.00372847 5292.25 269.772 269.772 269.772
12000 293.952 1.96284e+07 0.00372939 5290.03 269.75 269.75 269.75
13000 292.393 1.96236e+07 0.00373031 5280.34 269.728 269.728 269.728
14000 293.694 1.96187e+07 0.00373123 5307.71 269.706 269.706 269.706
15000 293.491 1.96139e+07 0.00373215 5307.08 269.684 269.684 269.684
16000 291.306 1.9609e+07 0.00373307 5266.67 269.661 269.661 269.661
17000 295.389 1.96042e+07 0.00373399 5359.12 269.639 269.639 269.639
18000 293.57 1.95994e+07 0.00373491 5319.64 269.617 269.617 269.617
19000 293.148 1.95945e+07 0.00373584 5314.44 269.595 269.595 269.595
20000 294.071 1.95897e+07 0.00373676 5327.44 269.573 269.573 269.573
21000 295.046 1.95848e+07 0.00373768 5353.22 269.55 269.55 269.55
22000 294.175 1.958e+07 0.00373861 5340.63 269.528 269.528 269.528
23000 294.441 1.95752e+07 0.00373953 5357.17 269.506 269.506 269.506
24000 292.375 1.95703e+07 0.00374045 5361.24 269.484 269.484 269.484
25000 290.976 1.95655e+07 0.00374138 5326.1 269.462 269.462 269.462
26000 291.594 1.95607e+07 0.0037423 5334.11 269.439 269.439 269.439
27000 291.464 1.95558e+07 0.00374323 5320.14 269.417 269.417 269.417
28000 291.055 1.9551e+07 0.00374415 5307.38 269.395 269.395 269.395
29000 293.375 1.95462e+07 0.00374508 5367.92 269.373 269.373 269.373
30000 295.084 1.95413e+07 0.003746 5390.47 269.351 269.351 269.351
31000 293.811 1.95365e+07 0.00374693 5406.31 269.329 269.329 269.329
32000 294.191 1.95317e+07 0.00374786 5412.35 269.306 269.306 269.306
33000 292.081 1.95269e+07 0.00374878 5364.6 269.284 269.284 269.284
34000 292.254 1.9522e+07 0.00374971 5369.12 269.262 269.262 269.262
35000 292.013 1.95172e+07 0.00375064 5384.55 269.24 269.24 269.24
36000 295.426 1.95124e+07 0.00375157 5439.92 269.218 269.218 269.218
37000 290.594 1.95075e+07 0.00375249 5386 269.195 269.195 269.195
38000 293.912 1.95027e+07 0.00375342 5427.43 269.173 269.173 269.173
39000 294.649 1.94979e+07 0.00375435 5432.05 269.151 269.151 269.151
40000 292.811 1.94931e+07 0.00375528 5387.27 269.129 269.129 269.129
41000 293.399 1.94883e+07 0.00375621 5415.24 269.107 269.107 269.107
42000 292.489 1.94834e+07 0.00375714 5390.65 269.084 269.084 269.084
43000 293.123 1.94786e+07 0.00375807 5407.44 269.062 269.062 269.062
44000 293.739 1.94738e+07 0.003759 5409.76 269.04 269.04 269.04
45000 291.931 1.9469e+07 0.00375993 5367.32 269.018 269.018 269.018
46000 294.463 1.94642e+07 0.00376086 5418.89 268.996 268.996 268.996
47000 291.96 1.94593e+07 0.00376179 5379.71 268.973 268.973 268.973
48000 294.188 1.94545e+07 0.00376272 5411.07 268.951 268.951 268.951
49000 296.327 1.94497e+07 0.00376365 5454.27 268.929 268.929 268.929
50000 294.645 1.94449e+07 0.00376459 5421.66 268.907 268.907 268.907
51000 294.582 1.94401e+07 0.00376552 5396.67 268.885 268.885 268.885
52000 292.884 1.94353e+07 0.00376645 5396.34 268.862 268.862 268.862
53000 294.673 1.94305e+07 0.00376738 5422.31 268.84 268.84 268.84
54000 294.062 1.94256e+07 0.00376832 5412.71 268.818 268.818 268.818
55000 293.707 1.94208e+07 0.00376925 5408.19 268.796 268.796 268.796
56000 293.062 1.9416e+07 0.00377018 5398.59 268.774 268.774 268.774
57000 295.001 1.94112e+07 0.00377112 5428.11 268.751 268.751 268.751
58000 290.493 1.94064e+07 0.00377205 5377.52 268.729 268.729 268.729
59000 293.733 1.94016e+07 0.00377299 5415.74 268.707 268.707 268.707
60000 292.897 1.93968e+07 0.00377392 5404.47 268.685 268.685 268.685
61000 291.794 1.9392e+07 0.00377486 5388.74 268.663 268.663 268.663
62000 294.869 1.93872e+07 0.00377579 5425 268.641 268.641 268.641
63000 293.358 1.93824e+07 0.00377673 5400.32 268.618 268.618 268.618
64000 292.513 1.93776e+07 0.00377766 5389.18 268.596 268.596 268.596
65000 291.454 1.93728e+07 0.0037786 5365.41 268.574 268.574 268.574
66000 294.804 1.9368e+07 0.00377954 5437.35 268.552 268.552 268.552
67000 291.813 1.93632e+07 0.00378048 5404.67 268.53 268.53 268.53
68000 293.95 1.93584e+07 0.00378141 5421.99 268.507 268.507 268.507
69000 291.469 1.93536e+07 0.00378235 5402.01 268.485 268.485 268.485
70000 294.211 1.93488e+07 0.00378329 5455.29 268.463 268.463 268.463
71000 292.159 1.9344e+07 0.00378423 5409.95 268.441 268.441 268.441
72000 291.376 1.93392e+07 0.00378517 5398.11 268.419 268.419 268.419
73000 290.602 1.93344e+07 0.00378611 5386.23 268.396 268.396 268.396
74000 292.066 1.93296e+07 0.00378704 5398.48 268.374 268.374 268.374
75000 293.311 1.93248e+07 0.00378798 5412.18 268.352 268.352 268.352
76000 293.663 1.932e+07 0.00378892 5430.1 268.33 268.33 268.33
77000 294.084 1.93152e+07 0.00378986 5451.98 268.308 268.308 268.308
78000 291.894 1.93104e+07 0.00379081 5400.81 268.285 268.285 268.285
79000 293.165 1.93056e+07 0.00379175 5421.16 268.263 268.263 268.263
80000 292.766 1.93008e+07 0.00379269 5413.05 268.241 268.241 268.241
81000 294.515 1.9296e+07 0.00379363 5458.6 268.219 268.219 268.219
82000 294.463 1.92912e+07 0.00379457 5427.64 268.197 268.197 268.197
83000 294.643 1.92864e+07 0.00379551 5434.11 268.174 268.174 268.174
84000 289.745 1.92817e+07 0.00379646 5378.27 268.152 268.152 268.152
85000 293.314 1.92769e+07 0.0037974 5423.49 268.13 268.13 268.13
86000 292.502 1.92721e+07 0.00379834 5417.42 268.108 268.108 268.108
87000 294.219 1.92673e+07 0.00379929 5454.57 268.086 268.086 268.086
88000 294.503 1.92625e+07 0.00380023 5425.92 268.063 268.063 268.063
89000 295.242 1.92577e+07 0.00380117 5454.09 268.041 268.041 268.041
90000 292.562 1.92529e+07 0.00380212 5410.92 268.019 268.019 268.019
91000 293.209 1.92482e+07 0.00380306 5425.49 267.997 267.997 267.997
92000 293.252 1.92434e+07 0.00380401 5433.18 267.975 267.975 267.975
93000 292.575 1.92386e+07 0.00380495 5408.86 267.952 267.952 267.952
94000 292.471 1.92338e+07 0.0038059 5415.91 267.93 267.93 267.93
95000 294.46 1.9229e+07 0.00380684 5468.13 267.908 267.908 267.908
96000 295.418 1.92243e+07 0.00380779 5474.71 267.886 267.886 267.886
97000 293.298 1.92195e+07 0.00380874 5428.96 267.864 267.864 267.864
98000 294.132 1.92147e+07 0.00380968 5454.59 267.842 267.842 267.842
99000 293.3 1.92099e+07 0.00381063 5439.53 267.819 267.819 267.819
100000 293.192 1.92052e+07 0.00381158 5433.92 267.797 267.797 267.797
101000 292.926 1.92004e+07 0.00381253 5448.64 267.775 267.775 267.775
102000 291.47 1.91956e+07 0.00381347 5400.85 267.753 267.753 267.753
103000 291.026 1.91908e+07 0.00381442 5383.09 267.731 267.731 267.731
104000 294.435 1.91861e+07 0.00381537 5459.69 267.708 267.708 267.708
105000 292.754 1.91813e+07 0.00381632 5420.02 267.686 267.686 267.686
106000 294.323 1.91765e+07 0.00381727 5458.18 267.664 267.664 267.664
107000 291.943 1.91717e+07 0.00381822 5433.7 267.642 267.642 267.642
