# Time-averaged data for fix state_variables
# TimeStep c_thermo_temp v_vol v_rho v_etotal v_a v_b v_c
2000 291.395 1.96775e+07 0.00372009 5288.12 269.975 269.975 269.975
3000 292.812 1.96725e+07 0.00372102 5330.78 269.952 269.952 269.952
4000 292.898 1.96676e+07 0.00372195 5309.14 269.93 269.93 269.93
5000 293.085 1.96627e+07 0.00372288 5306.54 269.907 269.907 269.907
6000 292.894 1.96578e+07 0.00372381 5313.19 269.885 269.885 269.885
7000 293.345 1.96529e+07 0.00372474 5328.75 269.862 269.862 269.862
8000 290.525 1.9648e+07 0.00372568 5280.74 269.84 269.84 269.84
9000 294.377 1.96431e+07 0.00372661 5347.57 269.817 269.817 269.817
10000 294.968 1.96381e+07 0.00372754 5349.7 269.795 269.795 269.795
11000 293.508 1.96332e+07 0.00372847 5289.51 269.772 269.772 269.772
12000 294.436 1.96283e+07 0.00372941 5333.31 269.75 269.75 269.75
13000 294.583 1.96234e+07 0.00373034 5331.95 269.727 269.727 269.727
14000 293.773 1.96185e+07 0.00373127 5330.65 269.705 269.705 269.705
15000 292.821 1.96136e+07 0.0037322 5309.93 269.682 269.682 269.682
16000 291.602 1.96087e+07 0.00373314 5284.82 269.66 269.66 269.66
17000 290.96 1.96038e+07 0.00373407 5273.82 269.637 269.637 269.637
18000 292.568 1.95989e+07 0.00373501 5299.91 269.615 269.615 269.615
19000 291.979 1.9594e+07 0.00373594 5299.25 269.592 269.592 269.592
20000 293.958 1.95891e+07 0.00373688 5312.75 269.57 269.57 269.57
21000 295.661 1.95842e+07 0.00373781 5364.8 269.547 269.547 269.547
22000 294.529 1.95793e+07 0.00373875 5336.02 269.525 269.525 269.525
23000 293.686 1.95744e+07 0.00373969 5333.03 269.502 269.502 269.502
24000 291.801 1.95695e+07 0.00374062 5269.37 269.48 269.48 269.48
25000 293.458 1.95646e+07 0.00374156 5299.6 269.457 269.457 269.457
26000 292.124 1.95597e+07 0.0037425 5307.8 269.435 269.435 269.435
27000 293.804 1.95548e+07 0.00374343 5332.61 269.412 269.412 269.412
28000 294.579 1.95499e+07 0.00374437 5373.82 269.39 269.39 269.39
29000 293.765 1.9545e+07 0.00374531 5340.87 269.367 269.367 269.367
30000 292.182 1.95401e+07 0.00374625 5323.14 269.345 269.345 269.345
31000 292.315 1.95352e+07 0.00374719 5321.18 269.322 269.322 269.322
32000 294.819 1.95303e+07 0.00374812 5394.56 269.3 269.3 269.3
33000 294.851 1.95254e+07 0.00374906 5371.94 269.277 269.277 269.277
34000 293.938 1.95205e+07 0.00375 5342.12 269.255 269.255 269.255
35000 293.268 1.95156e+07 0.00375094 5336.21 269.232 269.232 269.232
36000 293.599 1.95107e+07 0.00375188 5330.48 269.21 269.21 269.21
37000 292.611 1.95058e+07 0.00375282 5319.8 269.187 269.187 269.187
38000 289.339 1.95009e+07 0.00375376 5265.29 269.165 269.165 269.165
39000 292.096 1.94961e+07 0.00375471 5316.82 269.142 269.142 269.142
40000 291.566 1.94912e+07 0.00375565 5291.97 269.12 269.12 269.12
41000 293.015 1.94863e+07 0.00375659 5340.26 269.098 269.098 269.098
42000 293.385 1.94814e+07 0.00375753 5365.05 269.075 269.075 269.075
43000 294.265 1.94765e+07 0.00375847 5365.87 269.053 269.053 269.053
44000 293.409 1.94716e+07 0.00375942 5332.23 269.03 269.03 269.03
45000 294.512 1.94667e+07 0.00376036 5379.95 269.008 269.008 269.008
46000 292.288 1.94619e+07 0.0037613 5326.48 268.985 268.985 268.985
47000 291.033 1.9457e+07 0.00376225 5313.97 268.963 268.963 268.963
48000 292.228 1.94521e+07 0.00376319 5305.85 268.94 268.94 268.94
49000 294.519 1.94472e+07 0.00376413 5372.28 268.918 268.918 268.918
50000 295.795 1.94423e+07 0.00376508 5376.76 268.895 268.895 268.895
51000 292.275 1.94375e+07 0.00376602 5322.77 268.873 268.873 268.873
52000 290.689 1.94326e+07 0.00376697 5309.36 268.85 268.85 268.85
53000 293.835 1.94277e+07 0.00376791 5384.52 268.828 268.828 268.828
54000 291.709 1.94228e+07 0.00376886 5343.91 268.805 268.805 268.805
55000 291.826 1.9418e+07 0.00376981 5357.16 268.783 268.783 268.783
56000 293.486 1.94131e+07 0.00377075 5361.18 268.76 268.76 268.76
57000 294.802 1.94082e+07 0.0037717 5383.56 268.738 268.738 268.738
58000 293.187 1.94033e+07 0.00377265 5374.41 268.715 268.715 268.715
59000 293.735 1.93985e+07 0.00377359 5381.76 268.693 268.693 268.693
60000 291.349 1.93936e+07 0.00377454 5343.46 268.67 268.67 268.67
