# Time-averaged data for fix dave
# TimeStep v_rho
116002000 0.81624
116003000 0.815456
116004000 0.817249
116005000 0.816943
116006000 0.816267
116007000 0.815377
116008000 0.815267
116009000 0.815221
116010000 0.815026
116011000 0.815145
116012000 0.815126
116013000 0.815543
116014000 0.815775
116015000 0.815824
116016000 0.815975
116017000 0.815815
116018000 0.815708
116019000 0.815895
116020000 0.815769
116021000 0.815699
116022000 0.815579
116023000 0.815543
116024000 0.815573
116025000 0.815643
116026000 0.815596
116027000 0.815647
116028000 0.815793
116029000 0.815833
116030000 0.815946
116031000 0.815787
116032000 0.815815
116033000 0.815898
116034000 0.815988
116035000 0.816145
116036000 0.816199
116037000 0.81633
116038000 0.816466
116039000 0.816539
116040000 0.816624
116041000 0.816741
116042000 0.816746
116043000 0.816785
116044000 0.816836
116045000 0.816869
116046000 0.816929
116047000 0.816997
116048000 0.817066
116049000 0.817161
116050000 0.817326
116051000 0.817486
116052000 0.817567
116053000 0.817631
116054000 0.817705
116055000 0.81778
116056000 0.817885
116057000 0.817919
116058000 0.818046
116059000 0.818205
116060000 0.818292
116061000 0.818368
116062000 0.818451
116063000 0.818527
116064000 0.818584
116065000 0.818635
116066000 0.818647
116067000 0.818655
116068000 0.818648
116069000 0.818623
116070000 0.818603
116071000 0.818577
116072000 0.818525
116073000 0.818504
116074000 0.818484
116075000 0.818436
116076000 0.818434
116077000 0.818385
116078000 0.818398
116079000 0.818415
116080000 0.818431
116081000 0.81843
116082000 0.818373
116083000 0.818378
116084000 0.818388
116085000 0.818382
116086000 0.818394
116087000 0.818391
116088000 0.81838
116089000 0.818384
116090000 0.818414
116091000 0.818435
116092000 0.818431
116093000 0.818431
116094000 0.818427
116095000 0.818487
116096000 0.818483
116097000 0.818504
116098000 0.818515
116099000 0.818529
116100000 0.818529
116101000 0.818526
116102000 0.818557
116103000 0.818587
116104000 0.818606
116105000 0.818615
116106000 0.818627
116107000 0.818665
116108000 0.818682
116109000 0.818711
116110000 0.818704
116111000 0.818711
116112000 0.818708
116113000 0.818718
116114000 0.818734
116115000 0.818733
116116000 0.818748
116117000 0.818755
116118000 0.818747
116119000 0.818773
116120000 0.818781
116121000 0.818778
116122000 0.818811
116123000 0.818824
116124000 0.818822
116125000 0.818829
116126000 0.818834
116127000 0.818838
116128000 0.818853
116129000 0.818841
116130000 0.818833
116131000 0.818816
116132000 0.81883
116133000 0.818845
116134000 0.818853
116135000 0.818877
116136000 0.818912
116137000 0.818939
116138000 0.818915
116139000 0.818907
116140000 0.81889
116141000 0.818886
116142000 0.818858
116143000 0.818842
116144000 0.818809
116145000 0.818791
116146000 0.81875
116147000 0.818696
116148000 0.818651
116149000 0.818613
116150000 0.818561
116151000 0.818546
116152000 0.818515
116153000 0.818519
116154000 0.818489
116155000 0.818459
116156000 0.818471
116157000 0.818442
116158000 0.818398
116159000 0.818359
116160000 0.818319
116161000 0.818307
116162000 0.818284
116163000 0.818256
116164000 0.818236
116165000 0.81822
116166000 0.818193
116167000 0.818187
116168000 0.818177
116169000 0.818159
116170000 0.818149
116171000 0.818136
116172000 0.81816
116173000 0.818167
116174000 0.818164
116175000 0.818145
116176000 0.818146
116177000 0.818125
116178000 0.818133
116179000 0.818139
116180000 0.818148
116181000 0.818145
116182000 0.818156
116183000 0.818145
116184000 0.81813
116185000 0.818114
116186000 0.818109
116187000 0.8181
116188000 0.818091
116189000 0.818087
116190000 0.818096
116191000 0.818095
116192000 0.818068
116193000 0.818059
116194000 0.81806
116195000 0.818058
116196000 0.818052
116197000 0.818044
116198000 0.818036
116199000 0.818031
116200000 0.818033
116201000 0.818043
116202000 0.818049
116203000 0.818049
116204000 0.818035
116205000 0.818016
116206000 0.818008
116207000 0.817974
116208000 0.817951
116209000 0.817929
116210000 0.817889
116211000 0.817854
116212000 0.817829
116213000 0.817823
116214000 0.817802
116215000 0.817792
116216000 0.81779
116217000 0.817784
116218000 0.817782
116219000 0.817787
116220000 0.817804
116221000 0.817798
116222000 0.817782
116223000 0.817765
116224000 0.817746
116225000 0.817731
116226000 0.817728
116227000 0.817727
116228000 0.817716
116229000 0.817703
116230000 0.817689
116231000 0.817672
116232000 0.817658
116233000 0.817656
116234000 0.817654
116235000 0.81765
116236000 0.817651
116237000 0.817651
116238000 0.817634
116239000 0.817635
116240000 0.817618
116241000 0.817618
116242000 0.817612
116243000 0.817595
116244000 0.81761
116245000 0.817608
116246000 0.817604
116247000 0.817595
116248000 0.817586
116249000 0.81758
116250000 0.817571
116251000 0.817577
116252000 0.817575
116253000 0.817592
116254000 0.81758
116255000 0.81757
116256000 0.817573
116257000 0.81758
116258000 0.817593
116259000 0.817591
116260000 0.817591
116261000 0.817586
116262000 0.817587
116263000 0.817573
116264000 0.817579
116265000 0.817586
116266000 0.817601
116267000 0.8176
116268000 0.817597
116269000 0.817582
116270000 0.817574
116271000 0.817582
116272000 0.817577
116273000 0.817571
116274000 0.817575
116275000 0.81758
116276000 0.817572
116277000 0.817578
116278000 0.817583
116279000 0.817587
116280000 0.817592
116281000 0.817613
116282000 0.817628
116283000 0.817632
116284000 0.817632
116285000 0.817623
116286000 0.817629
116287000 0.817639
116288000 0.817654
116289000 0.817652
116290000 0.817652
116291000 0.817656
116292000 0.817653
116293000 0.817646
116294000 0.817631
116295000 0.817611
116296000 0.817606
116297000 0.817587
116298000 0.817585
116299000 0.817578
116300000 0.817585
116301000 0.81759
116302000 0.817594
116303000 0.817604
116304000 0.81761
116305000 0.817624
116306000 0.817632
116307000 0.817632
116308000 0.817638
116309000 0.817649
116310000 0.817648
116311000 0.81765
116312000 0.817646
116313000 0.817644
116314000 0.817647
116315000 0.817645
116316000 0.817646
116317000 0.817648
116318000 0.817654
116319000 0.817653
116320000 0.817656
116321000 0.817657
116322000 0.817656
116323000 0.817664
116324000 0.817667
116325000 0.817674
116326000 0.81769
116327000 0.817695
116328000 0.817706
116329000 0.817718
116330000 0.817723
116331000 0.817728
116332000 0.817732
116333000 0.817724
116334000 0.817723
116335000 0.817729
116336000 0.817723
116337000 0.817719
116338000 0.817706
116339000 0.817694
116340000 0.817685
116341000 0.817681
116342000 0.817679
116343000 0.817667
116344000 0.817651
116345000 0.817639
116346000 0.817641
116347000 0.817633
116348000 0.817625
116349000 0.817619
116350000 0.817608
116351000 0.817603
116352000 0.817596
116353000 0.817586
116354000 0.817579
116355000 0.817565
116356000 0.817549
