# Time-averaged data for fix output_pressure
# TimeStep v_pxx v_pyy v_pzz v_pxy v_pxz v_pyz c_thermo_press
10002000 821.615 345.083 583.05 -8.64479 -30.1175 64.5648 583.249
10003000 983.249 720.037 820.913 -24.1435 -27.4122 -10.4668 841.4
10004000 802.643 604.805 804.039 -190.104 35.8905 -37.3516 737.162
10005000 781.412 491.269 872.374 -105.71 -21.4256 43.5854 715.018
10006000 531.634 449.279 650.122 -161.055 -12.2506 46.4549 543.678
10007000 535.528 397.071 665.114 -38.5007 70.5557 -28.6127 532.571
10008000 590.829 380.859 642.4 -49.2309 91.2473 -84.1999 538.029
10009000 432.402 421.727 518.418 -122.016 -81.4009 -2.81334 457.515
10010000 351.648 412.295 563.813 -4.73458 41.1121 61.3707 442.586
10011000 354.94 358.645 558.672 -88.3487 10.8848 -102.798 424.086
10012000 556.473 403.99 664.011 -78.2538 -42.9724 69.1652 541.491
10013000 339.39 348.436 590.733 -27.6658 -11.5934 45.643 426.186
10014000 477.957 381.534 678.766 -146.822 9.88733 50.5735 512.752
10015000 462.703 312.432 655.411 -83.5438 -18.7239 1.47641 476.849
10016000 723.887 534.263 762.421 -19.5953 121.326 124.403 673.524
10017000 552.645 615.93 826.722 -19.1015 87.9283 13.2099 665.099
10018000 513.167 414.762 712.143 -49.4957 -2.75768 102.041 546.69
10019000 584.436 519.729 625.33 -74.8314 11.7202 108.008 576.499
10020000 588.735 452.147 752.127 -57.2804 42.7693 53.5938 597.67
10021000 511.308 434.932 661.29 -102.053 9.02222 145.937 535.844
10022000 240.893 405.756 623.845 -60.4394 60.8785 84.6006 423.498
10023000 474.887 486.262 615.831 2.02388 -0.215505 70.9974 525.66
10024000 463.28 314.486 408.258 -64.4167 -11.8637 44.0843 395.341
10025000 505.806 264.578 518.963 -37.1722 -1.23583 23.3128 429.782
10026000 510.679 277.39 525.281 -42.7335 39.4755 -45.1358 437.783
10027000 241.642 278.024 454.238 -35.3149 27.9857 -66.391 324.634
10028000 372.846 264.295 511.517 -49.7415 -52.6713 -123.719 382.886
10029000 305.919 312.691 504.911 -72.1049 -127.792 -52.2695 374.507
10030000 302.716 238.359 469.368 19.5543 -25.0648 5.70137 336.814
10031000 396.096 365.68 733.932 -86.9014 -17.3197 -60.3286 498.57
10032000 646.618 397.846 743.643 71.4165 -105.595 -37.4088 596.036
10033000 436.892 253.923 641.558 -41.5834 -30.2468 34.0421 444.124
10034000 441.03 194.694 497.135 -63.3148 48.6058 41.1304 377.62
10035000 476.989 340.276 510.937 22.3844 -88.135 -74.3912 442.734
10036000 340.096 358.323 473.779 -115.033 -66.3751 28.4578 390.733
10037000 339.986 257.758 408.065 -90.3372 -46.3739 0.216193 335.27
10038000 439.989 256.51 546.122 79.8881 -0.591787 36.9492 414.207
10039000 434.928 172.482 494.7 6.10937 -115.133 16.2523 367.37
10040000 396.374 321.385 406.3 35.5116 -33.9876 43.0285 374.686
10041000 222.061 51.5453 312.583 -13.6238 16.2153 73.7743 195.396
10042000 308.078 85.2531 440.478 -24.5606 162.677 113.131 277.936
10043000 425.404 142.928 368.689 -9.97067 78.8966 75.5481 312.34
10044000 244.59 12.0785 374.139 -92.3324 35.5382 28.415 210.269
10045000 247.592 241.197 465.786 40.1522 80.829 -13.8838 318.192
10046000 346.46 132.39 222.789 -7.54254 158.446 -28.3623 233.88
10047000 99.265 -15.531 293.205 60.5344 149.437 65.7276 125.646
10048000 227.283 232.458 378.47 -37.2937 118.056 117.306 279.404
10049000 281.118 86.7157 368.45 84.7905 102.833 119.638 245.428
10050000 215.772 150.226 400.682 31.1501 140.49 47.034 255.56
10051000 352.443 135.555 409.026 53.3671 -0.105456 -35.7067 299.008
10052000 369.554 179.549 351.174 -24.6461 93.2467 13.5643 300.092
10053000 382.059 312.777 332.454 31.3553 83.0434 22.6756 342.43
10054000 297.127 411.08 328.765 110.702 83.7454 -37.8572 345.657
10055000 458.585 352.769 399.334 18.4229 47.0415 135.646 403.563
10056000 381.851 258.357 356.522 -6.63658 26.0743 10.3706 332.243
10057000 513.513 128.34 293.553 -27.1216 31.708 48.5582 311.802
10058000 461.277 108.769 189.281 50.0813 6.03038 10.1287 253.109
10059000 443.628 38.4881 331.564 79.5769 -12.5479 -14.4758 271.227
10060000 308.126 -10.4242 232.565 3.77503 71.6384 29.8238 176.756
10061000 318.586 222.836 211.651 -63.1013 -23.5092 1.14391 251.024
10062000 290.632 171.07 331.63 -79.0462 12.1294 -62.976 264.444
10063000 341.552 127.173 337.285 35.231 39.0679 -100.354 268.67
10064000 276.025 -139.676 195.59 -132.205 84.779 3.12704 110.646
10065000 174.118 -134.557 146.137 -96.0431 -3.45325 -68.9385 61.8994
10066000 181.24 -137.615 193.984 -125.199 15.0792 -85.0736 79.203
10067000 428.155 26.9778 216.976 -72.3156 -74.9935 -114.212 224.037
10068000 298.807 -86.2409 159.593 -101.014 -9.03342 -43.3758 124.053
10069000 358.717 97.7151 240.771 -47.7708 9.92886 -28.664 232.401
10070000 53.6404 16.4702 150.746 -131.313 9.92549 -14.6459 73.6189
10071000 192.584 72.9052 332.113 -26.3022 -44.7961 71.8156 199.201
10072000 248.802 -26.9552 291.657 25.6009 -61.5806 -2.35643 171.168
10073000 48.7492 -26.7371 159.908 -67.1224 -83.0587 -32.8932 60.6401
10074000 56.1817 -126.186 -58.5281 -124.392 32.3654 44.5195 -42.8442
10075000 391.637 36.5376 131.533 15.0115 -18.2046 65.1449 186.569
10076000 110.358 -7.57765 -61.366 -22.4503 -3.17435 15.2074 13.8047
10077000 277.442 -161.037 155.881 58.9295 56.5461 76.4768 90.7623
10078000 358.64 46.4584 297.604 60.6771 19.0914 -34.1932 234.234
10079000 225.175 84.6511 264.11 -29.7469 -55.2432 79.1071 191.312
10080000 87.3417 -184.588 281.227 -54.4208 -22.7197 39.4322 61.327
10081000 157.523 -3.6071 221.222 -51.4702 24.3753 -12.8371 125.046
10082000 137.904 -24.2054 53.5176 33.588 100.133 1.88126 55.7387
10083000 150.052 -18.5035 125.321 -60.3763 25.2505 19.0391 85.623
10084000 239.582 -68.0353 157.939 -66.3225 29.546 116.236 109.828
10085000 118.661 -61.3369 245.081 19.2301 -13.0694 118.4 100.802
10086000 170.524 -38.5717 151.021 2.59978 45.1042 131.325 94.3247
10087000 28.5388 -40.4247 47.8357 -149.976 57.8669 31.2165 11.9833
10088000 110.919 -245.943 49.05 -74.4951 78.8625 154.415 -28.6582
10089000 -96.0165 -227.601 -76.1103 -11.2999 55.42 156.635 -133.243
10090000 74.7688 -65.6232 61.6385 -51.7908 49.3866 148.323 23.5947
10091000 3.60097 68.5399 224.032 -105.491 -18.2696 10.1368 98.7244
10092000 73.2545 172.07 165.347 25.2758 67.0283 112.659 136.891
10093000 123.845 28.4475 114.129 92.7422 -11.2875 88.3595 88.8071
10094000 208.478 -32.0489 136.022 20.0763 38.4778 -19.2014 104.15
10095000 266.71 -137.322 194.567 -36.2207 -13.7981 54.5317 107.985
10096000 247.983 -34.9823 260.665 -23.4147 61.9549 -43.1963 157.889
10097000 96.172 -27.3954 76.4557 48.7789 -15.075 22.8396 48.4108
10098000 35.1029 59.8698 279.486 -1.70444 41.5668 29.5033 124.82
10099000 14.4889 -142.831 80.8972 -30.3871 -35.6453 -59.0321 -15.815
10100000 90.313 -173.105 275.62 -48.5793 -44.1964 25.7974 64.2762
10101000 139.227 -308.756 203.458 -106.97 1.07394 25.4981 11.3097
10102000 101.315 -199.859 185.61 -109.701 151.777 -40.6075 29.0224
10103000 149.385 -354.098 22.3524 -19.9655 68.6051 36.0955 -60.7867
10104000 294.656 -88.4219 105.004 9.89568 -10.1616 33.1013 103.746
