# Time-averaged data for fix dave
# TimeStep v_rho
11002000 0.816184
11003000 0.817963
11004000 0.816458
11005000 0.816988
11006000 0.816545
11007000 0.816068
11008000 0.815799
11009000 0.815266
11010000 0.81495
11011000 0.814967
11012000 0.814934
11013000 0.815091
11014000 0.814916
11015000 0.814827
11016000 0.814793
11017000 0.814922
11018000 0.814695
11019000 0.81467
11020000 0.814766
11021000 0.814767
11022000 0.814933
11023000 0.814949
11024000 0.81491
11025000 0.814934
11026000 0.814684
11027000 0.814656
11028000 0.814525
11029000 0.814471
11030000 0.814424
11031000 0.814417
11032000 0.814505
11033000 0.814633
11034000 0.814779
11035000 0.814773
11036000 0.814803
11037000 0.814906
11038000 0.814953
11039000 0.81498
11040000 0.814954
11041000 0.814904
11042000 0.814996
11043000 0.814975
11044000 0.815017
11045000 0.814963
11046000 0.814951
11047000 0.814943
11048000 0.815017
11049000 0.815066
11050000 0.815133
11051000 0.815179
11052000 0.81526
11053000 0.815312
11054000 0.815453
11055000 0.815579
11056000 0.815746
11057000 0.815844
11058000 0.815968
11059000 0.816084
11060000 0.816155
11061000 0.816269
11062000 0.816309
11063000 0.816345
11064000 0.816406
11065000 0.816365
11066000 0.816445
11067000 0.816519
11068000 0.81659
11069000 0.816689
11070000 0.816784
11071000 0.816854
11072000 0.816838
11073000 0.816804
11074000 0.816844
11075000 0.816804
11076000 0.816829
11077000 0.816842
11078000 0.816907
11079000 0.816878
11080000 0.816878
11081000 0.816865
11082000 0.816869
11083000 0.81689
11084000 0.816942
11085000 0.816939
11086000 0.816909
11087000 0.816936
11088000 0.816916
11089000 0.816855
11090000 0.816836
11091000 0.816815
11092000 0.816806
11093000 0.816812
11094000 0.816859
11095000 0.81685
11096000 0.816792
11097000 0.816769
11098000 0.816764
11099000 0.816724
11100000 0.816739
11101000 0.816764
11102000 0.81678
11103000 0.816806
11104000 0.816841
11105000 0.81686
11106000 0.816831
11107000 0.816828
11108000 0.81684
11109000 0.81683
11110000 0.816857
11111000 0.816878
11112000 0.816873
11113000 0.816924
11114000 0.816959
11115000 0.817007
11116000 0.817046
11117000 0.817092
11118000 0.817133
11119000 0.817184
11120000 0.81722
11121000 0.817284
11122000 0.817331
11123000 0.817391
11124000 0.817417
11125000 0.817484
11126000 0.817512
11127000 0.817516
11128000 0.817536
11129000 0.817556
11130000 0.817605
11131000 0.817598
11132000 0.817609
11133000 0.817616
11134000 0.817652
11135000 0.817674
11136000 0.817672
11137000 0.817685
11138000 0.817692
11139000 0.817676
11140000 0.817678
11141000 0.817668
11142000 0.81765
11143000 0.817635
11144000 0.817646
11145000 0.817643
11146000 0.817658
11147000 0.817678
11148000 0.817692
11149000 0.817715
11150000 0.817739
11151000 0.817763
11152000 0.817767
11153000 0.817781
11154000 0.81779
11155000 0.817797
11156000 0.817778
11157000 0.817792
11158000 0.81781
11159000 0.817817
11160000 0.817823
11161000 0.817833
11162000 0.817829
11163000 0.817821
11164000 0.817824
11165000 0.817818
11166000 0.817812
11167000 0.817791
11168000 0.817768
11169000 0.817804
11170000 0.817811
11171000 0.817836
11172000 0.817857
11173000 0.817874
11174000 0.817891
11175000 0.817907
11176000 0.817925
11177000 0.817954
11178000 0.817964
11179000 0.81797
11180000 0.81798
11181000 0.818001
11182000 0.818015
11183000 0.818015
11184000 0.818022
11185000 0.818014
11186000 0.818033
11187000 0.81803
11188000 0.818017
11189000 0.818033
11190000 0.818022
11191000 0.81804
11192000 0.818062
11193000 0.818089
11194000 0.818098
11195000 0.818126
11196000 0.818157
11197000 0.818196
11198000 0.818207
11199000 0.818235
11200000 0.818257
11201000 0.818284
11202000 0.818296
11203000 0.818308
11204000 0.818338
11205000 0.818352
11206000 0.818354
11207000 0.818354
11208000 0.818353
11209000 0.818355
11210000 0.818359
11211000 0.818351
11212000 0.818337
11213000 0.818325
11214000 0.818314
11215000 0.818314
11216000 0.818313
11217000 0.818298
11218000 0.818289
11219000 0.818275
11220000 0.818258
11221000 0.818249
11222000 0.81824
11223000 0.818224
11224000 0.818213
11225000 0.818203
11226000 0.818214
11227000 0.818192
11228000 0.818195
11229000 0.818204
11230000 0.818205
11231000 0.818194
11232000 0.818195
11233000 0.8182
11234000 0.818202
11235000 0.818204
11236000 0.818207
11237000 0.8182
11238000 0.818213
11239000 0.818219
11240000 0.818227
11241000 0.818232
11242000 0.818242
11243000 0.818237
11244000 0.818232
11245000 0.818248
11246000 0.818254
11247000 0.818239
11248000 0.818225
11249000 0.818218
11250000 0.818214
11251000 0.81822
11252000 0.818216
11253000 0.818218
11254000 0.818213
11255000 0.818224
11256000 0.818229
11257000 0.818234
11258000 0.818246
11259000 0.818245
11260000 0.818252
11261000 0.818269
11262000 0.818284
11263000 0.818302
11264000 0.818309
11265000 0.81831
11266000 0.818304
11267000 0.818298
11268000 0.818292
11269000 0.818273
11270000 0.818257
11271000 0.818255
11272000 0.818237
11273000 0.818223
11274000 0.818231
11275000 0.818219
11276000 0.818211
11277000 0.818198
11278000 0.818191
11279000 0.818188
11280000 0.818197
11281000 0.818194
11282000 0.818203
11283000 0.818205
11284000 0.818203
11285000 0.818217
11286000 0.818213
11287000 0.818209
11288000 0.818204
11289000 0.818183
11290000 0.818169
11291000 0.818168
11292000 0.818143
11293000 0.818131
11294000 0.818124
11295000 0.818119
11296000 0.818101
11297000 0.818103
11298000 0.818094
11299000 0.818092
11300000 0.818095
11301000 0.818111
11302000 0.818105
11303000 0.818093
11304000 0.81808
11305000 0.818085
11306000 0.818092
11307000 0.818099
11308000 0.818104
11309000 0.818098
11310000 0.818099
11311000 0.818107
11312000 0.818123
11313000 0.818134
11314000 0.818138
11315000 0.818141
11316000 0.818144
11317000 0.818155
11318000 0.818173
11319000 0.818176
11320000 0.818185
11321000 0.818198
11322000 0.818201
11323000 0.818203
11324000 0.818196
11325000 0.818196
11326000 0.818203
11327000 0.818194
11328000 0.818196
11329000 0.818192
11330000 0.818193
11331000 0.818197
11332000 0.818196
11333000 0.818196
11334000 0.818195
11335000 0.818195
11336000 0.818199
11337000 0.818209
11338000 0.818215
11339000 0.818217
11340000 0.818219
11341000 0.818218
11342000 0.818216
11343000 0.818219
11344000 0.818215
11345000 0.818214
11346000 0.818217
11347000 0.81823
11348000 0.818238
11349000 0.81824
11350000 0.818243
11351000 0.818241
11352000 0.81823
11353000 0.818214
11354000 0.818196
11355000 0.818171
11356000 0.818161
11357000 0.81814
11358000 0.818125
11359000 0.818117
11360000 0.818103
11361000 0.818093
11362000 0.818081
11363000 0.818076
11364000 0.818069
11365000 0.818063
11366000 0.818051
11367000 0.818057
11368000 0.818061
11369000 0.818062
11370000 0.818071
11371000 0.818072
11372000 0.818081
11373000 0.818093
11374000 0.818104
11375000 0.81811
11376000 0.818124
11377000 0.818143
11378000 0.818145
11379000 0.818152
11380000 0.818164
11381000 0.818164
11382000 0.818173
11383000 0.818179
11384000 0.818185
11385000 0.818194
11386000 0.81821
11387000 0.818218
11388000 0.818226
11389000 0.818229
11390000 0.818236
11391000 0.818252
11392000 0.81826
11393000 0.818262
11394000 0.818272
11395000 0.818282
11396000 0.818288
11397000 0.818299
11398000 0.818305
11399000 0.818314
11400000 0.818324
11401000 0.818342
11402000 0.81835
11403000 0.818357
11404000 0.818367
11405000 0.81838
11406000 0.818396
11407000 0.818408
11408000 0.81842
11409000 0.818433
11410000 0.818444
11411000 0.818451
11412000 0.818462
11413000 0.81846
11414000 0.818463
11415000 0.818468
11416000 0.81847
11417000 0.818481
11418000 0.818489
11419000 0.818501
11420000 0.818513
11421000 0.818526
11422000 0.818529
11423000 0.818525
11424000 0.818521
11425000 0.818527
11426000 0.818524
11427000 0.818522
11428000 0.818521
