# Time-averaged data for fix dave
# TimeStep v_rho
125002000 0.780116
125003000 0.776475
125004000 0.773061
125005000 0.773294
125006000 0.772457
125007000 0.770931
125008000 0.770163
125009000 0.770188
125010000 0.770645
125011000 0.770162
125012000 0.770352
125013000 0.770825
125014000 0.770396
125015000 0.770172
125016000 0.770306
125017000 0.770585
125018000 0.770443
125019000 0.770622
125020000 0.770653
125021000 0.770478
125022000 0.770282
125023000 0.770001
125024000 0.769826
125025000 0.769845
125026000 0.769708
125027000 0.769713
125028000 0.76984
125029000 0.769985
125030000 0.770208
125031000 0.770378
125032000 0.770538
125033000 0.770674
125034000 0.770838
125035000 0.770775
125036000 0.770932
125037000 0.770862
125038000 0.770627
125039000 0.770588
125040000 0.770389
125041000 0.770245
125042000 0.770364
125043000 0.770429
125044000 0.770463
125045000 0.770609
125046000 0.770614
125047000 0.770644
125048000 0.770747
125049000 0.770846
125050000 0.770946
125051000 0.770948
125052000 0.770936
125053000 0.770878
125054000 0.770785
125055000 0.770573
125056000 0.770439
125057000 0.770297
125058000 0.77014
125059000 0.769901
125060000 0.769801
125061000 0.769636
125062000 0.769529
125063000 0.769507
125064000 0.769552
125065000 0.769586
125066000 0.769677
125067000 0.769733
125068000 0.769823
125069000 0.769841
125070000 0.769843
125071000 0.769891
125072000 0.76991
125073000 0.769938
125074000 0.769937
125075000 0.769912
125076000 0.770018
125077000 0.77
125078000 0.769999
125079000 0.769958
125080000 0.769988
125081000 0.769985
125082000 0.769896
125083000 0.769823
125084000 0.769803
125085000 0.769691
125086000 0.769697
125087000 0.769718
125088000 0.769649
125089000 0.769567
125090000 0.769466
125091000 0.769427
125092000 0.769323
125093000 0.769169
125094000 0.769123
125095000 0.769114
125096000 0.769106
125097000 0.769051
125098000 0.768948
125099000 0.768936
125100000 0.768883
125101000 0.768815
125102000 0.768759
125103000 0.768693
125104000 0.768627
125105000 0.768586
125106000 0.768474
125107000 0.768362
125108000 0.768249
125109000 0.768174
125110000 0.768121
125111000 0.768056
125112000 0.767993
125113000 0.767965
125114000 0.767914
125115000 0.767893
125116000 0.767843
125117000 0.767754
125118000 0.767641
