# Time-averaged data for fix dave
# TimeStep v_rho
11002000 0.792734
11003000 0.791561
11004000 0.79075
11005000 0.790094
11006000 0.789217
11007000 0.789652
11008000 0.789206
11009000 0.78879
11010000 0.788366
11011000 0.78843
11012000 0.788485
11013000 0.788607
11014000 0.788439
11015000 0.788595
11016000 0.788626
11017000 0.78904
11018000 0.788992
11019000 0.789102
11020000 0.789009
11021000 0.789058
11022000 0.789133
11023000 0.788979
11024000 0.789017
11025000 0.788878
11026000 0.788648
11027000 0.788587
11028000 0.78851
11029000 0.788411
11030000 0.78827
11031000 0.788292
11032000 0.788184
11033000 0.78815
11034000 0.788035
11035000 0.787919
11036000 0.787769
11037000 0.787686
11038000 0.787463
11039000 0.787357
11040000 0.787237
11041000 0.787054
11042000 0.786896
11043000 0.786786
11044000 0.786636
11045000 0.786464
11046000 0.786259
11047000 0.78621
11048000 0.786168
11049000 0.785981
11050000 0.785845
11051000 0.78573
11052000 0.785676
11053000 0.785709
11054000 0.785587
11055000 0.785629
11056000 0.785658
11057000 0.785639
11058000 0.785671
11059000 0.78568
11060000 0.785675
11061000 0.785552
11062000 0.785485
11063000 0.785386
11064000 0.785348
11065000 0.785279
11066000 0.785197
11067000 0.785141
11068000 0.785113
11069000 0.785011
11070000 0.785004
11071000 0.784988
11072000 0.784979
11073000 0.784953
11074000 0.784876
11075000 0.784851
11076000 0.784813
11077000 0.784767
11078000 0.784749
11079000 0.784688
11080000 0.784629
11081000 0.784632
11082000 0.784678
11083000 0.784683
11084000 0.784623
11085000 0.784618
11086000 0.784629
11087000 0.784639
11088000 0.784632
11089000 0.784636
11090000 0.784609
11091000 0.784612
11092000 0.784618
11093000 0.784585
11094000 0.784524
11095000 0.784505
11096000 0.784467
11097000 0.784454
11098000 0.784487
11099000 0.784499
11100000 0.784502
11101000 0.784454
11102000 0.784471
11103000 0.78443
11104000 0.784389
11105000 0.784403
11106000 0.784345
11107000 0.784282
11108000 0.784274
11109000 0.784238
11110000 0.784192
11111000 0.784111
11112000 0.784032
11113000 0.783934
11114000 0.783861
11115000 0.783819
11116000 0.78376
11117000 0.783715
11118000 0.78365
11119000 0.783617
11120000 0.783601
11121000 0.783555
11122000 0.78352
11123000 0.783461
11124000 0.783397
11125000 0.783411
11126000 0.783406
11127000 0.783378
11128000 0.783361
11129000 0.783298
11130000 0.78323
11131000 0.783153
11132000 0.783096
11133000 0.783019
11134000 0.782968
11135000 0.782889
11136000 0.782841
11137000 0.782787
11138000 0.782758
11139000 0.78272
11140000 0.782644
11141000 0.782653
11142000 0.782601
11143000 0.782622
11144000 0.78265
11145000 0.782611
11146000 0.782572
11147000 0.782572
11148000 0.782574
11149000 0.782565
11150000 0.782549
11151000 0.782529
11152000 0.782475
11153000 0.782415
11154000 0.782372
11155000 0.782322
11156000 0.782275
11157000 0.782242
11158000 0.782229
11159000 0.782218
11160000 0.782194
11161000 0.782216
11162000 0.782218
11163000 0.782193
11164000 0.782186
11165000 0.782167
11166000 0.782172
11167000 0.782176
11168000 0.782161
11169000 0.782134
11170000 0.782105
11171000 0.782077
11172000 0.782073
11173000 0.782068
11174000 0.782046
11175000 0.782025
11176000 0.782004
11177000 0.782022
11178000 0.782068
11179000 0.782059
11180000 0.782037
11181000 0.78202
11182000 0.781985
11183000 0.78195
11184000 0.781914
11185000 0.781897
11186000 0.781888
11187000 0.78187
11188000 0.781865
11189000 0.781818
11190000 0.781779
11191000 0.781749
11192000 0.781711
11193000 0.781661
11194000 0.781614
11195000 0.78158
