# Time-averaged data for fix output_pressure
# TimeStep v_pxx v_pyy v_pzz v_pxy v_pxz v_pyz c_thermo_press
10002000 706.069 504.918 518.307 10.3809 31.969 54.1717 576.431
10003000 619.919 621.64 571.115 -47.8073 -12.2278 -23.3575 604.225
10004000 725.125 524.868 521.9 25.4718 89.9571 -93.9013 590.631
10005000 612.811 430.935 360.902 -73.8533 18.8797 23.0782 468.216
10006000 717.508 461.786 470.812 25.8096 53.9031 -80.139 550.036
10007000 758.955 545.391 543.029 4.0262 131.112 -26.6977 615.792
10008000 635.093 424.27 342.645 52.4007 70.4171 -47.6656 467.336
10009000 574.627 318.185 374.546 13.299 56.3282 -86.4194 422.453
10010000 566.496 445.678 458.099 11.7755 77.2215 -5.37718 490.091
10011000 596.951 391.266 499.411 -22.3072 28.9809 -128.772 495.876
10012000 460.182 248.429 533.304 39.7688 56.6884 46.6781 413.972
10013000 664.008 553.632 626.925 38.6938 82.4539 -73.1972 614.855
10014000 676.838 556.393 652.551 9.38559 71.4882 46.6778 628.594
10015000 844.856 438.964 618.088 119.152 63.4171 -12.4109 633.97
10016000 348.655 336.254 455.267 111.74 37.6938 -34.2429 380.059
10017000 664.458 340.559 422.491 40.4229 11.858 28.5388 475.836
10018000 533.332 402.777 385.146 28.3888 -40.8999 54.6824 440.418
10019000 486.702 303.425 605.493 101.112 113.958 -99.5748 465.207
10020000 515.024 439.008 626.868 -32.3328 102.2 16.5997 526.966
10021000 236.941 330.764 571.538 -77.5351 207.283 -16.9596 379.747
10022000 143.67 250.56 306.597 20.5072 114.194 -17.1066 233.609
10023000 304.991 357.719 367.241 -108.544 76.9961 -29.9792 343.317
10024000 384.39 283.898 460.273 -30.1852 45.6411 39.8392 376.187
10025000 439.146 507.784 367.006 -150.755 53.1684 -6.45876 437.979
10026000 358.445 180.467 416.674 -39.2864 76.2677 -57.1209 318.529
10027000 420.778 286.968 295.887 -48.9397 19.2533 -29.2123 334.544
10028000 345.754 263.704 278.681 31.4019 -1.72186 4.1575 296.046
10029000 494.634 396.023 582.635 -32.6369 74.284 -6.75606 491.097
10030000 629.29 454.52 447.705 -56.4233 131.034 36.3714 510.505
10031000 665.724 420.251 605.967 -101.209 131.518 -25.4612 563.981
10032000 581.669 497.032 413.431 -29.5996 192.162 74.0674 497.377
10033000 486.589 204.849 463.635 -12.0859 70.2438 -36.8003 385.024
10034000 440.409 271.251 382.421 32.2255 27.9984 -89.9308 364.694
10035000 270.286 72.6867 337.345 31.5521 192.753 -62.8541 226.772
10036000 391.371 162.113 365.778 -45.6663 -10.9073 7.52394 306.421
10037000 317.027 175.078 490.247 87.8381 6.02097 -70.5337 327.451
10038000 522.076 309.531 384.206 6.38763 38.7453 -119.978 405.271
10039000 660.119 463.778 422.804 176.015 59.3829 -43.7739 515.567
10040000 329.917 243.338 463.592 59.3116 85.239 36.8611 345.615
10041000 334.198 41.0793 491.98 -3.59302 -24.2874 -59.1953 289.086
10042000 443.563 197.149 587.638 68.379 2.26944 48.189 409.45
10043000 346.268 121.357 363.775 124.202 -23.9418 -27.8569 277.133
10044000 384.044 369.168 472.136 17.6431 40.9069 -51.0964 408.449
10045000 367.902 187.568 267.455 39.087 48.0121 40.3398 274.308
10046000 419.312 400.214 498.854 -23.4572 0.162057 -95.03 439.46
10047000 137.961 252.14 266.547 131.725 67.5914 -241.459 218.883
10048000 332.348 317.693 221.756 29.1197 22.0366 -59.7677 290.599
10049000 62.1616 143.47 244.141 -17.6375 -54.6113 51.8849 149.924
10050000 352.746 280.774 349.412 57.2083 2.77293 -5.77284 327.644
10051000 323.092 318.689 394.325 33.6491 83.755 13.0018 345.369
10052000 171.321 308.613 184.187 60.073 -1.1498 -58.9376 221.374
10053000 215.89 282.133 189.151 -50.6381 73.1815 -83.5692 229.058
10054000 435.218 218.46 219.068 -105.843 -15.5452 -83.1333 290.915
10055000 272.196 146.565 263.857 -32.3246 25.4466 -17.009 227.539
10056000 323.124 225.546 261.239 5.22178 15.9056 -12.4974 269.97
10057000 359.885 280.286 91.2349 -15.3181 57.8344 -29.4598 243.802
10058000 508.07 297.554 243.855 122.145 28.7946 15.665 349.826
10059000 275.919 187.249 87.4646 48.823 86.3155 -9.99125 183.544
10060000 412.799 164.352 277.211 14.0696 -24.1035 55.2501 284.787
10061000 289.304 200.692 301.473 -95.0842 141.966 81.155 263.823
10062000 204.517 233.912 153.813 -15.078 34.7954 20.4784 197.414
10063000 220.387 237.158 274.906 -97.2206 49.3894 66.9234 244.15
10064000 158.431 215.282 145.945 -94.6881 72.4599 35.5154 173.22
10065000 371.005 286.21 286.017 -81.4979 88.47 60.5581 314.411
10066000 319.493 322.169 260.755 -83.9294 44.1525 26.4408 300.805
10067000 381.241 313.466 517.086 -94.5987 86.289 22.165 403.931
10068000 350.129 347.16 354.854 -40.5747 31.2795 41.0475 350.714
10069000 201.647 199.71 349.492 -68.3804 -38.8356 37.239 250.283
10070000 345.606 261.565 358.133 51.5517 8.12549 51.7767 321.768
10071000 482.244 308.232 502.311 -54.7576 -32.7481 -99.2024 430.929
10072000 375.585 117.706 498.294 -44.5994 34.8302 26.0253 330.528
10073000 263.67 66.27 332.154 -57.3206 -67.4264 52.3177 220.698
10074000 529.317 293.181 460.319 -69.5862 21.686 32.05 427.606
10075000 128.871 90.7382 359.295 -43.3723 -29.3966 70.9955 192.968
10076000 157.965 147.582 224.777 -91.5699 -23.4079 -15.1965 176.775
10077000 131.165 75.3309 330.115 -69.2987 -79.8906 -12.3973 178.87
10078000 70.4087 214.58 291.097 -62.3213 -53.0108 28.7787 192.029
10079000 143.266 115.982 277.673 -94.5936 33.223 -18.8393 178.974
10080000 87.9501 17.7721 215.162 -129.031 75.4554 -8.78337 106.961
10081000 273.171 47.7174 383.737 -132.143 55.1891 6.55497 234.875
10082000 185.111 165.845 356.393 -60.9207 32.041 63.1003 235.783
10083000 356.287 297.832 339.706 -13.5471 -38.1087 38.3614 331.275
10084000 337.407 173.883 306.742 18.2941 -27.759 -36.7259 272.677
10085000 333.659 231.339 272.452 -79.5811 75.0314 2.37406 279.15
10086000 314.831 242.568 400.64 -33.3047 59.18 -46.1857 319.346
10087000 191.28 63.0004 248.76 -13.2549 42.2241 18.0538 167.68
10088000 380.448 194.029 343.103 -90.1859 -17.3267 24.1111 305.86
10089000 408.954 210.106 383.036 -29.5983 -34.6632 70.4615 334.032
10090000 432.578 359.248 475.112 -52.4274 28.2337 -32.4382 422.313
10091000 396.711 152.368 420.853 27.8721 35.7481 -42.3078 323.311
10092000 169.07 137.04 306.97 6.18081 -46.0388 -59.6883 204.36
10093000 388.758 217.095 371.524 -82.3868 -10.346 -61 325.792
10094000 344.142 138.045 244.22 -24.203 76.7794 -24.9249 242.136
10095000 395.07 347.872 315.663 74.033 75.7793 6.6453 352.868
10096000 388.785 395.766 216.349 69.7891 5.15469 -118.08 333.633
10097000 330.768 254.893 277.215 63.6313 130.634 14.6604 287.626
10098000 336.493 262.715 304.352 -39.5092 9.78776 -103.137 301.186
10099000 370.07 209.654 446.782 4.10872 -15.4727 2.41216 342.169
10100000 552.29 290.425 375.435 -28.0337 -11.8044 -52.3419 406.05
10101000 525.208 348.948 363.202 -37.2456 32.6999 -3.54669 412.452
10102000 358.752 300.541 287.829 -9.20261 34.1249 -38.6339 315.707
10103000 488.017 219.558 415.316 -32.871 31.7359 -11.1224 374.297
10104000 423.556 261.776 424.047 -51.0972 -16.1866 47.8349 369.793
10105000 423.359 179.554 273.367 -193.899 32.4807 52.1051 292.093
10106000 410.138 229.385 364.532 -185.564 18.2464 -59.5233 334.685
10107000 393.221 269.954 260.808 -62.7018 11.6945 42.5217 307.994
10108000 384.702 279.653 184.485 -81.3075 -1.45534 108.196 282.946
10109000 388.535 276.612 245.938 67.5871 -44.7714 93.1715 303.695
10110000 424.873 204.074 236.12 -13.9265 -30.3891 43.9636 288.356
10111000 390.935 221.618 284.006 40.7482 -58.4528 78.8818 298.853
10112000 251.282 148.934 411.442 47.6081 31.5091 47.406 270.552
10113000 313.554 170.25 261.481 0.43448 78.0487 -96.8681 248.428
10114000 363.336 237.417 190.661 6.36145 172.146 48.041 263.805
10115000 381.221 217.157 457.326 -20.0807 26.0332 52.0944 351.901
10116000 427.704 162.201 292.355 -22.6267 65.929 51.91 294.087
10117000 242.621 40.7189 268.233 34.358 -64.164 69.9572 183.858
10118000 397.583 323.114 402.369 -9.68282 -20.6049 92.1316 374.356
10119000 484.163 475.482 408.2 -15.3633 -40.4172 13.6121 455.948
10120000 485.22 434.469 292.725 14.7063 -51.9784 -46.6178 404.138
10121000 315.213 299.928 383.855 73.2659 69.7021 -67.1812 332.999
10122000 275.798 140.628 246.381 -27.3231 -20.5464 -49.3501 220.935
10123000 481.613 351.421 423.597 70.9955 -36.613 -28.3148 418.877
10124000 291.841 198.277 368.618 62.5134 -72.557 3.70292 286.245
10125000 438.793 266.079 607.804 138.145 -55.7495 -81.6662 437.559
10126000 384.463 168.121 340.923 68.6956 60.3558 31.2226 297.836
10127000 378.724 204.579 239.059 7.72226 -23.3597 -48.1197 274.121
10128000 367.998 227.676 295.339 63.2851 -21.2402 22.3928 297.005
10129000 262.86 326.089 361.95 -17.6766 50.1115 38.2848 316.966
10130000 331.957 190.408 260.789 20.1388 119.712 -58.6778 261.052
10131000 369.162 334.695 359.319 109.742 46.62 -65.3195 354.392
10132000 307.772 109.727 354.949 27.7029 63.6608 -59.6573 257.483
10133000 404.407 208.264 275.212 47.3494 157.245 9.36389 295.961
10134000 435.739 284.22 395.302 1.26649 161.075 19.6333 371.754
10135000 326.84 284.314 373.66 -58.6034 135.65 49.7871 328.272
10136000 289.794 417.211 275.658 -10.4148 32.4071 -43.6769 327.555
10137000 254.826 132.922 124.249 75.8377 32.1867 -50.1152 170.666
10138000 313.28 139.131 220.378 125.536 83.9934 -42.6722 224.263
