# Time-averaged data for fix state_variables
# TimeStep c_thermo_temp v_vol v_rho v_etotal v_a v_b v_c
2000 293.158 1.9678e+07 0.00445973 5799.55 269.977 269.977 269.977
3000 292.615 1.96732e+07 0.00446083 5842.83 269.955 269.955 269.955
4000 294.992 1.96683e+07 0.00446193 5929.44 269.933 269.933 269.933
5000 293.629 1.96635e+07 0.00446303 5900.92 269.911 269.911 269.911
6000 290.744 1.96586e+07 0.00446413 5818.93 269.888 269.888 269.888
7000 294.026 1.96538e+07 0.00446523 5931.21 269.866 269.866 269.866
8000 292.333 1.96489e+07 0.00446633 5905.79 269.844 269.844 269.844
9000 293.989 1.96441e+07 0.00446744 5967.09 269.822 269.822 269.822
10000 292.173 1.96392e+07 0.00446854 5928.04 269.8 269.8 269.8
11000 292.86 1.96344e+07 0.00446964 5935.04 269.778 269.778 269.778
12000 294.517 1.96295e+07 0.00447074 5993.5 269.755 269.755 269.755
13000 296.102 1.96247e+07 0.00447185 6020.93 269.733 269.733 269.733
14000 291.223 1.96199e+07 0.00447295 5921.96 269.711 269.711 269.711
15000 292.939 1.9615e+07 0.00447406 5947.31 269.689 269.689 269.689
16000 291.788 1.96102e+07 0.00447516 5957.26 269.667 269.667 269.667
17000 293.418 1.96053e+07 0.00447627 5984.98 269.644 269.644 269.644
18000 292.669 1.96005e+07 0.00447737 5956.55 269.622 269.622 269.622
19000 293.232 1.95956e+07 0.00447848 5965.94 269.6 269.6 269.6
20000 291.993 1.95908e+07 0.00447958 5940.01 269.578 269.578 269.578
21000 292.271 1.9586e+07 0.00448069 5968.39 269.556 269.556 269.556
22000 293.781 1.95811e+07 0.0044818 6006.56 269.533 269.533 269.533
23000 291.279 1.95763e+07 0.0044829 5982.27 269.511 269.511 269.511
24000 292.687 1.95715e+07 0.00448401 6011.25 269.489 269.489 269.489
25000 293.056 1.95666e+07 0.00448512 6003.01 269.467 269.467 269.467
26000 293.399 1.95618e+07 0.00448623 6015.73 269.445 269.445 269.445
27000 292.321 1.9557e+07 0.00448734 6014.15 269.422 269.422 269.422
28000 293.785 1.95521e+07 0.00448845 6023.9 269.4 269.4 269.4
29000 292.196 1.95473e+07 0.00448956 5968.01 269.378 269.378 269.378
30000 293.008 1.95425e+07 0.00449067 6019.08 269.356 269.356 269.356
31000 293.739 1.95376e+07 0.00449178 6044.58 269.334 269.334 269.334
32000 294.633 1.95328e+07 0.00449289 6059.63 269.311 269.311 269.311
33000 291.724 1.9528e+07 0.004494 5985.44 269.289 269.289 269.289
34000 294.768 1.95231e+07 0.00449511 6046.29 269.267 269.267 269.267
35000 292.261 1.95183e+07 0.00449622 5997.14 269.245 269.245 269.245
36000 292.848 1.95135e+07 0.00449733 5995.94 269.223 269.223 269.223
37000 292.496 1.95087e+07 0.00449845 6001.52 269.2 269.2 269.2
