# Time-averaged data for fix state_variables
# TimeStep c_thermo_temp v_vol v_rho v_etotal v_a v_b v_c
2000 308.33 1.96769e+07 0.0037202 4739.97 269.972 269.972 269.972
3000 308.861 1.9672e+07 0.00372113 4868.63 269.95 269.95 269.95
4000 311.693 1.96671e+07 0.00372206 4962.97 269.927 269.927 269.927
5000 309.723 1.96621e+07 0.00372299 4940.47 269.905 269.905 269.905
6000 310.636 1.96572e+07 0.00372392 4981.53 269.882 269.882 269.882
7000 309.03 1.96523e+07 0.00372485 4946 269.86 269.86 269.86
8000 313.007 1.96474e+07 0.00372578 5043.64 269.837 269.837 269.837
9000 309.885 1.96425e+07 0.00372671 4975.08 269.815 269.815 269.815
10000 312.36 1.96376e+07 0.00372765 4996.57 269.792 269.792 269.792
11000 310.836 1.96327e+07 0.00372858 4972.06 269.77 269.77 269.77
12000 310.63 1.96278e+07 0.00372951 4971.42 269.747 269.747 269.747
13000 311.536 1.96229e+07 0.00373044 4970.06 269.725 269.725 269.725
14000 311.842 1.96179e+07 0.00373138 4986.65 269.702 269.702 269.702
15000 311.425 1.9613e+07 0.00373231 4960.96 269.68 269.68 269.68
16000 310.507 1.96081e+07 0.00373325 4932.34 269.657 269.657 269.657
17000 311.499 1.96032e+07 0.00373418 4960.85 269.635 269.635 269.635
18000 311.26 1.95983e+07 0.00373511 4950.04 269.612 269.612 269.612
19000 312.964 1.95934e+07 0.00373605 4944.48 269.59 269.59 269.59
20000 312.238 1.95885e+07 0.00373698 4947.23 269.567 269.567 269.567
21000 310.486 1.95836e+07 0.00373792 4923.71 269.545 269.545 269.545
22000 309.099 1.95787e+07 0.00373886 4893.47 269.522 269.522 269.522
23000 310.582 1.95738e+07 0.00373979 4931.12 269.5 269.5 269.5
24000 311.507 1.95689e+07 0.00374073 4923.74 269.477 269.477 269.477
25000 309.28 1.9564e+07 0.00374167 4908.22 269.455 269.455 269.455
26000 312.489 1.95591e+07 0.0037426 4950.71 269.432 269.432 269.432
27000 310.157 1.95542e+07 0.00374354 4895.96 269.41 269.41 269.41
28000 310.923 1.95493e+07 0.00374448 4887.88 269.387 269.387 269.387
29000 308.979 1.95444e+07 0.00374542 4858.99 269.365 269.365 269.365
30000 309.552 1.95395e+07 0.00374635 4883.49 269.342 269.342 269.342
31000 313.199 1.95346e+07 0.00374729 4931.38 269.32 269.32 269.32
32000 310.176 1.95297e+07 0.00374823 4861.59 269.297 269.297 269.297
33000 311.539 1.95248e+07 0.00374917 4880.42 269.275 269.275 269.275
34000 313.139 1.95199e+07 0.00375011 4883.02 269.252 269.252 269.252
35000 309.962 1.95151e+07 0.00375105 4824.71 269.23 269.23 269.23
36000 310.814 1.95102e+07 0.00375199 4831.18 269.207 269.207 269.207
37000 309.794 1.95053e+07 0.00375293 4817.83 269.185 269.185 269.185
38000 309.448 1.95004e+07 0.00375387 4833.05 269.162 269.162 269.162
39000 309.982 1.94955e+07 0.00375481 4850.96 269.14 269.14 269.14
40000 312.493 1.94906e+07 0.00375575 4875.53 269.117 269.117 269.117
41000 310.455 1.94857e+07 0.0037567 4843.79 269.095 269.095 269.095
42000 311.754 1.94808e+07 0.00375764 4867.55 269.072 269.072 269.072
43000 310.577 1.9476e+07 0.00375858 4835.35 269.05 269.05 269.05
44000 311.469 1.94711e+07 0.00375952 4856.96 269.027 269.027 269.027
45000 309.772 1.94662e+07 0.00376047 4825.24 269.005 269.005 269.005
46000 312.196 1.94613e+07 0.00376141 4845.26 268.982 268.982 268.982
47000 312.921 1.94564e+07 0.00376235 4882.31 268.96 268.96 268.96
48000 310.437 1.94515e+07 0.0037633 4828.1 268.938 268.938 268.938
49000 312.807 1.94467e+07 0.00376424 4858.87 268.915 268.915 268.915
50000 313.513 1.94418e+07 0.00376519 4869.68 268.893 268.893 268.893
51000 308.521 1.94369e+07 0.00376613 4778.59 268.87 268.87 268.87
52000 310.637 1.9432e+07 0.00376708 4832.94 268.848 268.848 268.848
53000 312.384 1.94272e+07 0.00376802 4852.19 268.825 268.825 268.825
54000 313.007 1.94223e+07 0.00376897 4833.65 268.803 268.803 268.803
55000 312.917 1.94174e+07 0.00376991 4819.63 268.78 268.78 268.78
56000 312.466 1.94125e+07 0.00377086 4852.98 268.758 268.758 268.758
57000 310.47 1.94077e+07 0.00377181 4776.46 268.735 268.735 268.735
58000 309.364 1.94028e+07 0.00377276 4795.9 268.713 268.713 268.713
59000 309.901 1.93979e+07 0.0037737 4802.83 268.69 268.69 268.69
60000 311.466 1.9393e+07 0.00377465 4806.54 268.668 268.668 268.668
61000 309.984 1.93882e+07 0.0037756 4767.15 268.645 268.645 268.645
62000 309.234 1.93833e+07 0.00377655 4757.21 268.623 268.623 268.623
63000 311.866 1.93784e+07 0.0037775 4824.81 268.6 268.6 268.6
64000 309.839 1.93736e+07 0.00377844 4807.27 268.578 268.578 268.578
65000 312.3 1.93687e+07 0.00377939 4846.2 268.555 268.555 268.555
66000 309.074 1.93638e+07 0.00378034 4806.03 268.533 268.533 268.533
67000 311.798 1.9359e+07 0.00378129 4817.69 268.51 268.51 268.51
68000 310.721 1.93541e+07 0.00378224 4787.63 268.488 268.488 268.488
69000 311.401 1.93492e+07 0.00378319 4810.18 268.465 268.465 268.465
70000 311.3 1.93444e+07 0.00378415 4827.02 268.443 268.443 268.443
71000 311.67 1.93395e+07 0.0037851 4806.87 268.42 268.42 268.42
72000 309.837 1.93347e+07 0.00378605 4745.97 268.398 268.398 268.398
73000 311.494 1.93298e+07 0.003787 4792.01 268.375 268.375 268.375
74000 310.506 1.93249e+07 0.00378795 4793.82 268.353 268.353 268.353
75000 313.762 1.93201e+07 0.00378891 4837.52 268.33 268.33 268.33
76000 311.816 1.93152e+07 0.00378986 4820.23 268.308 268.308 268.308
77000 313.709 1.93104e+07 0.00379081 4863.07 268.285 268.285 268.285
78000 309.076 1.93055e+07 0.00379177 4747.08 268.263 268.263 268.263
79000 309.86 1.93007e+07 0.00379272 4752.66 268.24 268.24 268.24
80000 312.651 1.92958e+07 0.00379367 4781.49 268.218 268.218 268.218
81000 310.198 1.92909e+07 0.00379463 4764.48 268.195 268.195 268.195
82000 312.785 1.92861e+07 0.00379558 4783.2 268.173 268.173 268.173
83000 312.114 1.92812e+07 0.00379654 4796.17 268.15 268.15 268.15
84000 310.115 1.92764e+07 0.00379749 4743.49 268.128 268.128 268.128
85000 313.07 1.92715e+07 0.00379845 4818.08 268.105 268.105 268.105
86000 312.176 1.92667e+07 0.00379941 4806.46 268.083 268.083 268.083
87000 312.842 1.92618e+07 0.00380036 4834.75 268.06 268.06 268.06
88000 310.464 1.9257e+07 0.00380132 4801.05 268.038 268.038 268.038
89000 308.715 1.92521e+07 0.00380228 4764.89 268.015 268.015 268.015
90000 310.661 1.92473e+07 0.00380323 4811.6 267.993 267.993 267.993
91000 310.336 1.92425e+07 0.00380419 4789.02 267.97 267.97 267.97
92000 311.234 1.92376e+07 0.00380515 4753.14 267.948 267.948 267.948
93000 312.676 1.92328e+07 0.00380611 4791.67 267.925 267.925 267.925
94000 309.692 1.92279e+07 0.00380707 4738.34 267.903 267.903 267.903
95000 310.956 1.92231e+07 0.00380802 4763.4 267.88 267.88 267.88
96000 312.04 1.92182e+07 0.00380898 4788.57 267.858 267.858 267.858
97000 311.708 1.92134e+07 0.00380994 4816.29 267.835 267.835 267.835
98000 311.469 1.92086e+07 0.0038109 4828.04 267.813 267.813 267.813
99000 310.661 1.92037e+07 0.00381186 4794.55 267.79 267.79 267.79
100000 311.562 1.91989e+07 0.00381282 4778.69 267.768 267.768 267.768
101000 313.447 1.9194e+07 0.00381379 4806.03 267.745 267.745 267.745
102000 310.7 1.91892e+07 0.00381475 4782.89 267.723 267.723 267.723
103000 308.426 1.91844e+07 0.00381571 4735.79 267.7 267.7 267.7
104000 311.388 1.91795e+07 0.00381667 4789.35 267.678 267.678 267.678
105000 313.323 1.91747e+07 0.00381763 4829.68 267.656 267.656 267.656
106000 309.114 1.91699e+07 0.00381859 4740.77 267.633 267.633 267.633
107000 311.319 1.9165e+07 0.00381956 4758.94 267.611 267.611 267.611
108000 311.745 1.91602e+07 0.00382052 4767.39 267.588 267.588 267.588
109000 314.467 1.91554e+07 0.00382148 4833.59 267.566 267.566 267.566
110000 311.129 1.91505e+07 0.00382245 4790.74 267.543 267.543 267.543
111000 310.089 1.91457e+07 0.00382341 4774.18 267.521 267.521 267.521
112000 310.105 1.91409e+07 0.00382438 4768.2 267.498 267.498 267.498
113000 311.266 1.91361e+07 0.00382534 4799.23 267.476 267.476 267.476
114000 310.8 1.91312e+07 0.00382631 4785.42 267.453 267.453 267.453
115000 311.228 1.91264e+07 0.00382727 4782.53 267.431 267.431 267.431
116000 312.257 1.91216e+07 0.00382824 4824.22 267.408 267.408 267.408
117000 312.052 1.91168e+07 0.0038292 4849.1 267.386 267.386 267.386
118000 312.514 1.91119e+07 0.00383017 4849.58 267.363 267.363 267.363
119000 313.195 1.91071e+07 0.00383114 4867.41 267.341 267.341 267.341
120000 312.177 1.91023e+07 0.0038321 4816 267.318 267.318 267.318
121000 312.07 1.90975e+07 0.00383307 4831.79 267.296 267.296 267.296
122000 310.932 1.90926e+07 0.00383404 4808.98 267.273 267.273 267.273
