# Time-averaged data for fix output_pressure
# TimeStep v_pxx v_pyy v_pzz v_pxy v_pxz v_pyz c_thermo_press
13001000 853.072 906.372 882.217 6.55478 -35.7824 -66.7555 880.554
13002000 803.446 742.9 815.722 -32.9487 -25.7469 -16.8058 787.356
13003000 947.689 808.609 886.303 -103.987 -33.0877 -28.5083 880.867
13004000 1035.45 816.672 900.355 56.6129 7.16224 -43.2664 917.494
13005000 1001.34 861.549 984.352 53.7925 59.2175 -44.2895 949.082
13006000 1101.64 793.226 1017.96 25.8708 -30.6755 -37.7621 970.942
13007000 1010.4 793.742 891.866 -8.16344 -46.0253 2.4664 898.67
13008000 999.943 801.98 995.267 -80.2541 -22.7632 5.16701 932.397
13009000 1014.08 715.961 909.284 74.0248 -4.75224 -104.937 879.775
13010000 972.333 774.878 946.719 76.3407 -48.2043 -34.7888 897.977
13011000 1094.25 737.909 881.01 68.3864 10.9591 -39.4361 904.391
13012000 974.133 695.012 906.333 101.438 -13.6424 -69.772 858.493
13013000 1052.19 711.195 883.567 56.3796 -21.5989 -57.6214 882.316
13014000 1008.87 757.075 846.943 12.1397 29.0006 -11.5404 870.964
13015000 1056.8 717.59 744.534 6.81402 -20.971 -64.3809 839.64
13016000 1021.97 727.72 794.399 161.007 53.3275 -75.1256 848.03
13017000 1149.02 750.408 1023.77 95.9492 105.832 -2.93128 974.399
13018000 1240.16 953.075 986.814 130.843 -32.112 -132.384 1060.02
13019000 992.117 841.699 888.243 107.493 7.33951 -142.353 907.353
13020000 1025.92 894.64 896.567 -18.9014 -60.8561 -42.0736 939.041
13021000 1120.46 758.626 949.957 51.4442 75.2411 -130.906 943.015
13022000 988.326 859.348 920.987 40.5822 78.6953 -91.7245 922.887
13023000 1112.08 689.5 995.935 61.0658 136.486 -100.054 932.504
13024000 1049.69 864.762 968.055 103.867 69.1181 -111.942 960.836
13025000 1114.66 894.216 847.617 51.6189 74.743 -43.8815 952.165
13026000 941.375 805.806 890.063 25.8028 81.9902 -122.7 879.081
13027000 1089.59 828.83 794.652 51.5376 68.5911 -28.5354 904.358
13028000 1114.37 647.272 868.941 20.8393 -27.942 -58.4756 876.862
13029000 930.671 584.306 872.996 4.60938 21.1432 -21.5107 795.991
13030000 1150.23 574.798 825.697 -24.7085 -3.70066 -27.2145 850.24
13031000 1104.8 746.504 838.272 -32.2167 52.2939 -50.2055 896.526
13032000 1063.36 771.675 899.097 -30.7876 39.4248 -70.596 911.379
13033000 947.658 739.938 874.514 -4.08719 64.148 -77.096 854.037
13034000 946.184 749.224 959.937 -28.8677 14.3829 -52.445 885.115
13035000 875.78 765.535 843.627 -70.9696 18.6976 -62.4128 828.314
13036000 942.689 846.035 815.987 92.0381 92.0477 -79.2408 868.237
13037000 974.458 908.004 921.41 3.51951 -49.0877 22.1408 934.624
13038000 1056.64 778.19 974.901 -32.8579 64.1683 -71.8492 936.578
13039000 1024.6 653.093 944.31 -34.1429 84.7382 36.5222 874
13040000 909.115 833.103 989.378 13.46 58.3595 -62.0472 910.532
13041000 1040.21 872.6 902.031 -36.0542 21.1656 -41.9292 938.28
13042000 1073.01 998.193 1051.37 19.127 19.3209 25.1456 1040.86
13043000 1063.93 945.414 957.426 23.348 58.4465 43.3202 988.923
13044000 1099.39 886.103 976.341 -40.2535 88.5624 -32.7233 987.278
13045000 943.387 913.057 959.585 3.12479 66.794 -62.9589 938.676
13046000 937.779 755.967 862.693 39.447 56.2455 -39.534 852.146
13047000 925.545 834.388 808.75 1.65645 -22.8671 -69.1942 856.227
13048000 934.756 842.115 791.141 -21.6777 2.35719 -71.3133 856.004
13049000 1065.88 933.014 814.629 -3.9584 13.4448 -8.88958 937.84
13050000 1042.03 876.853 837.76 6.42404 -9.45251 11.0098 918.882
13051000 905.647 831.123 918.438 -11.7021 50.4121 -0.387069 885.069
13052000 975.589 829.684 819.535 51.3149 18.2373 24.1096 874.936
13053000 1092.46 879.179 1082.79 95.6679 -2.02472 -58.007 1018.14
13054000 976.811 999.852 1031.52 31.2097 86.2858 85.1387 1002.73
13055000 983.788 879.928 945.791 -24.9929 79.0319 21.1531 936.502
13056000 956.585 901.387 894.318 -87.643 5.49313 -53.2248 917.43
13057000 1065.03 882.566 957.265 64.8375 -4.18738 -80.412 968.288
13058000 870.947 951.251 871.697 -25.609 -27.1253 40.6234 897.965
13059000 1024.8 982.802 1009.53 -37.1413 57.4303 -7.19546 1005.71
13060000 1114.59 974.753 929.852 31.5634 56.8805 -14.0821 1006.4
13061000 1036.78 732.922 833.421 26.3021 8.10529 57.9888 867.709
13062000 988.735 778.152 851.2 92.2489 1.72809 -41.2012 872.695
13063000 1153.83 988.523 1051.46 -53.0443 33.3739 -68.493 1064.6
13064000 1022.12 809.847 918.159 59.5994 7.85842 17.1609 916.709
13065000 885.095 800.783 962.513 122.934 -68.6457 -22.5266 882.797
13066000 878.15 776.397 981.568 28.5558 -127.214 -90.7206 878.705
13067000 883.997 882.212 1012.14 -7.38054 -29.5136 -6.81904 926.115
13068000 920.859 894.796 945.115 57.6599 -122.697 53.106 920.257
13069000 851.89 876.114 932.644 -8.37632 -72.3324 31.6996 886.883
13070000 984.846 1012.19 1119.03 132.698 -68.2136 4.53072 1038.69
13071000 961.12 969.312 1129.57 8.71235 -59.3003 -62.4208 1020
13072000 1042.3 1009.54 1163.48 108.559 -180.582 -59.3037 1071.77
13073000 1048.61 963.072 1169.2 84.6178 -91.83 18.2647 1060.29
13074000 1022.16 1002.78 1025.19 93.0796 -93.3355 52.892 1016.71
13075000 1029.08 964.634 1021.61 -2.61861 -44.0831 17.6861 1005.11
13076000 970.038 804.527 963.987 177.216 -60.6385 -107.241 912.851
13077000 999.838 905.756 920.743 143.298 -53.1405 -52.0488 942.112
13078000 1022.48 982.363 939.279 87.7832 -34.9071 -45.582 981.374
13079000 967.268 815.521 1042.58 152.518 -106.131 -82.8482 941.791
13080000 882.944 742.93 908.682 122.263 -50.2764 -19.6601 844.852
13081000 929.571 690.967 810.706 96.2397 -59.7359 -29.4618 810.415
13082000 945.615 796.915 935.09 179.585 -107.032 -101.536 892.54
13083000 951.259 846.403 798.132 60.7815 -30.5146 11.6091 865.265
13084000 928.982 895.116 868.029 100.177 13.1763 3.63782 897.375
13085000 924.232 934.75 896.547 121.992 51.7624 -19.8687 918.51
13086000 950.659 766.311 832.973 129.686 32.9515 46.3464 849.981
13087000 1021.31 844.92 911.469 58.9177 8.99394 -95.0649 925.9
13088000 996.272 845.27 1063.01 48.85 20.8541 1.04516 968.183
13089000 974.836 823.271 1017 56.47 26.3213 -40.0045 938.37
13090000 994.718 924.121 973.69 57.5986 21.2611 -6.8414 964.176
13091000 1011.88 915.636 898.728 9.24691 61.534 59.5978 942.082
13092000 944.444 936.703 863.055 -39.8395 69.1783 74.3347 914.734
13093000 964.256 952.647 979.234 59.3899 -15.1468 119.184 965.379
13094000 966.391 907.551 968.618 111.976 -30.9927 81.9611 947.52
13095000 1017.87 915.533 890.005 46.9571 -4.41619 77.6212 941.138
13096000 995.007 1002.33 1015.82 -10.6907 12.9957 47.522 1004.39
13097000 985.937 1047.41 962.612 72.3517 -51.5916 -27.4524 998.654
