# Time-averaged data for fix state_variables
# TimeStep c_thermo_temp v_vol v_rho v_etotal v_a v_b v_c
13001000 292.168 101386 0.865592 2106.15 46.6293 46.6293 46.6293
13002000 292.276 101386 0.865592 2109.89 46.6293 46.6293 46.6293
13003000 292.895 101386 0.865592 2115.28 46.6293 46.6293 46.6293
13004000 292.449 101386 0.865592 2101.74 46.6293 46.6293 46.6293
13005000 291.863 101386 0.865592 2104.62 46.6293 46.6293 46.6293
13006000 294.741 101386 0.865592 2171.86 46.6293 46.6293 46.6293
13007000 291.833 101386 0.865592 2098.53 46.6293 46.6293 46.6293
13008000 293.629 101386 0.865592 2138.25 46.6293 46.6293 46.6293
13009000 294.336 101386 0.865592 2154.42 46.6293 46.6293 46.6293
13010000 293.8 101386 0.865592 2126.37 46.6293 46.6293 46.6293
13011000 292.752 101386 0.865592 2121.37 46.6293 46.6293 46.6293
13012000 291.248 101386 0.865592 2077.39 46.6293 46.6293 46.6293
13013000 292.434 101386 0.865592 2111.99 46.6293 46.6293 46.6293
13014000 293.329 101386 0.865592 2152.8 46.6293 46.6293 46.6293
13015000 292.464 101386 0.865592 2119.79 46.6293 46.6293 46.6293
13016000 293.939 101386 0.865592 2148.57 46.6293 46.6293 46.6293
13017000 293.613 101386 0.865592 2134.56 46.6293 46.6293 46.6293
13018000 294.456 101386 0.865592 2184.39 46.6293 46.6293 46.6293
13019000 292.934 101386 0.865592 2134.77 46.6293 46.6293 46.6293
13020000 293.862 101386 0.865592 2133.69 46.6293 46.6293 46.6293
13021000 290.994 101386 0.865592 2057.42 46.6293 46.6293 46.6293
13022000 293.775 101386 0.865592 2141.54 46.6293 46.6293 46.6293
13023000 291.699 101386 0.865592 2087.31 46.6293 46.6293 46.6293
13024000 292.788 101386 0.865592 2116.71 46.6293 46.6293 46.6293
13025000 291.628 101386 0.865592 2093.66 46.6293 46.6293 46.6293
13026000 290.891 101386 0.865592 2085.67 46.6293 46.6293 46.6293
13027000 291.983 101386 0.865592 2086.83 46.6293 46.6293 46.6293
13028000 292.553 101386 0.865592 2117.62 46.6293 46.6293 46.6293
13029000 293.02 101386 0.865592 2137.91 46.6293 46.6293 46.6293
13030000 293.621 101386 0.865592 2143.48 46.6293 46.6293 46.6293
13031000 294.081 101386 0.865592 2147.6 46.6293 46.6293 46.6293
13032000 293.665 101386 0.865592 2130.75 46.6293 46.6293 46.6293
13033000 294.053 101386 0.865592 2144.67 46.6293 46.6293 46.6293
13034000 293.12 101386 0.865592 2125.86 46.6293 46.6293 46.6293
13035000 293.255 101386 0.865592 2134.09 46.6293 46.6293 46.6293
13036000 292.484 101386 0.865592 2110.19 46.6293 46.6293 46.6293
13037000 292.389 101386 0.865592 2117.41 46.6293 46.6293 46.6293
13038000 294.743 101386 0.865592 2160.71 46.6293 46.6293 46.6293
13039000 293.948 101386 0.865592 2152.25 46.6293 46.6293 46.6293
13040000 291.743 101386 0.865592 2107.93 46.6293 46.6293 46.6293
13041000 292.551 101386 0.865592 2118.63 46.6293 46.6293 46.6293
13042000 292.846 101386 0.865592 2136.93 46.6293 46.6293 46.6293
13043000 292.986 101386 0.865592 2131.97 46.6293 46.6293 46.6293
13044000 291.818 101386 0.865592 2079.19 46.6293 46.6293 46.6293
13045000 291.257 101386 0.865592 2074.18 46.6293 46.6293 46.6293
13046000 292.826 101386 0.865592 2105.37 46.6293 46.6293 46.6293
13047000 292.658 101386 0.865592 2096.79 46.6293 46.6293 46.6293
13048000 291.187 101386 0.865592 2073.7 46.6293 46.6293 46.6293
13049000 293.955 101386 0.865592 2151.5 46.6293 46.6293 46.6293
13050000 293.152 101386 0.865592 2115.62 46.6293 46.6293 46.6293
13051000 293.042 101386 0.865592 2118.7 46.6293 46.6293 46.6293
13052000 293.954 101386 0.865592 2144.2 46.6293 46.6293 46.6293
13053000 292.44 101386 0.865592 2120.34 46.6293 46.6293 46.6293
13054000 292.99 101386 0.865592 2132.2 46.6293 46.6293 46.6293
13055000 291.917 101386 0.865592 2104.86 46.6293 46.6293 46.6293
13056000 290.923 101386 0.865592 2077.32 46.6293 46.6293 46.6293
13057000 292.991 101386 0.865592 2122.2 46.6293 46.6293 46.6293
13058000 292.191 101386 0.865592 2106.78 46.6293 46.6293 46.6293
13059000 294.246 101386 0.865592 2160.15 46.6293 46.6293 46.6293
13060000 292.11 101386 0.865592 2103.92 46.6293 46.6293 46.6293
13061000 293.346 101386 0.865592 2120.44 46.6293 46.6293 46.6293
13062000 293.749 101386 0.865592 2128.56 46.6293 46.6293 46.6293
13063000 292.695 101386 0.865592 2109.08 46.6293 46.6293 46.6293
13064000 292.151 101386 0.865592 2088.78 46.6293 46.6293 46.6293
13065000 292.396 101386 0.865592 2120.55 46.6293 46.6293 46.6293
13066000 292.999 101386 0.865592 2124.33 46.6293 46.6293 46.6293
13067000 293.595 101386 0.865592 2127.19 46.6293 46.6293 46.6293
13068000 293.224 101386 0.865592 2129.22 46.6293 46.6293 46.6293
13069000 291.856 101386 0.865592 2072.1 46.6293 46.6293 46.6293
13070000 292.816 101386 0.865592 2111.96 46.6293 46.6293 46.6293
13071000 294.761 101386 0.865592 2156.72 46.6293 46.6293 46.6293
13072000 293.886 101386 0.865592 2125.05 46.6293 46.6293 46.6293
13073000 293.141 101386 0.865592 2120.74 46.6293 46.6293 46.6293
13074000 293.566 101386 0.865592 2132.47 46.6293 46.6293 46.6293
13075000 291.933 101386 0.865592 2100.28 46.6293 46.6293 46.6293
13076000 291.497 101386 0.865592 2070.91 46.6293 46.6293 46.6293
13077000 292.193 101386 0.865592 2087.15 46.6293 46.6293 46.6293
13078000 292.674 101386 0.865592 2108.57 46.6293 46.6293 46.6293
13079000 294.449 101386 0.865592 2149.15 46.6293 46.6293 46.6293
13080000 292.18 101386 0.865592 2104.91 46.6293 46.6293 46.6293
13081000 293.532 101386 0.865592 2125.04 46.6293 46.6293 46.6293
13082000 294.438 101386 0.865592 2140.78 46.6293 46.6293 46.6293
13083000 293.672 101386 0.865592 2143.35 46.6293 46.6293 46.6293
13084000 293.651 101386 0.865592 2137.28 46.6293 46.6293 46.6293
13085000 293.669 101386 0.865592 2140.2 46.6293 46.6293 46.6293
13086000 292.508 101386 0.865592 2116.18 46.6293 46.6293 46.6293
13087000 293.623 101386 0.865592 2125.11 46.6293 46.6293 46.6293
13088000 293.405 101386 0.865592 2142.58 46.6293 46.6293 46.6293
13089000 294.094 101386 0.865592 2154.56 46.6293 46.6293 46.6293
13090000 290.993 101386 0.865592 2080.93 46.6293 46.6293 46.6293
13091000 293.027 101386 0.865592 2114.32 46.6293 46.6293 46.6293
13092000 292.285 101386 0.865592 2101.89 46.6293 46.6293 46.6293
13093000 292.051 101386 0.865592 2114.07 46.6293 46.6293 46.6293
13094000 294.28 101386 0.865592 2139.65 46.6293 46.6293 46.6293
13095000 290.028 101386 0.865592 2052.96 46.6293 46.6293 46.6293
13096000 293.099 101386 0.865592 2122.3 46.6293 46.6293 46.6293
13097000 291.894 101386 0.865592 2094.18 46.6293 46.6293 46.6293
13098000 294.362 101386 0.865592 2163.58 46.6293 46.6293 46.6293
13099000 293.762 101386 0.865592 2148 46.6293 46.6293 46.6293
13100000 292.128 101386 0.865592 2096.54 46.6293 46.6293 46.6293
13101000 291.252 101386 0.865592 2080.62 46.6293 46.6293 46.6293
13102000 292.629 101386 0.865592 2128.9 46.6293 46.6293 46.6293
