# Time-averaged data for fix dave
# TimeStep v_rho
228002000 0.863535
228003000 0.863187
228004000 0.863514
228005000 0.86438
228006000 0.865352
228007000 0.865041
228008000 0.865022
228009000 0.86478
228010000 0.864664
228011000 0.864582
228012000 0.864661
228013000 0.864704
228014000 0.864705
228015000 0.864598
228016000 0.864769
228017000 0.864799
228018000 0.864718
228019000 0.864669
228020000 0.864601
228021000 0.864702
228022000 0.864628
228023000 0.864592
228024000 0.864624
228025000 0.864615
228026000 0.864637
228027000 0.864675
228028000 0.864704
228029000 0.864777
228030000 0.864773
228031000 0.864841
228032000 0.864806
228033000 0.864848
228034000 0.86481
228035000 0.864876
228036000 0.864941
228037000 0.864989
228038000 0.865059
228039000 0.865078
228040000 0.865132
228041000 0.865193
228042000 0.865295
228043000 0.865357
228044000 0.86548
228045000 0.865541
228046000 0.865593
228047000 0.865655
228048000 0.865737
228049000 0.865763
228050000 0.865828
228051000 0.865892
228052000 0.865978
228053000 0.866028
228054000 0.866048
228055000 0.866077
228056000 0.86605
228057000 0.866014
228058000 0.866003
228059000 0.866007
228060000 0.86597
228061000 0.865965
228062000 0.865962
228063000 0.865971
228064000 0.865973
228065000 0.865957
228066000 0.865983
228067000 0.865977
228068000 0.865955
228069000 0.86593
228070000 0.86593
228071000 0.86595
228072000 0.865942
228073000 0.865939
228074000 0.865908
228075000 0.865865
228076000 0.865805
228077000 0.865754
228078000 0.865736
228079000 0.865694
228080000 0.865696
228081000 0.865689
228082000 0.865651
228083000 0.865578
228084000 0.865539
228085000 0.865506
228086000 0.86546
228087000 0.865455
228088000 0.865434
228089000 0.865415
228090000 0.865376
228091000 0.865357
228092000 0.865326
228093000 0.865294
228094000 0.865278
228095000 0.865265
228096000 0.865268
228097000 0.865273
228098000 0.865287
228099000 0.865284
228100000 0.865288
228101000 0.865284
228102000 0.865263
228103000 0.86523
228104000 0.865194
228105000 0.865172
228106000 0.86514
228107000 0.865115
228108000 0.865098
228109000 0.865072
228110000 0.865063
228111000 0.86507
228112000 0.865063
228113000 0.865043
228114000 0.86505
228115000 0.865054
228116000 0.865057
228117000 0.865056
228118000 0.865044
228119000 0.865038
228120000 0.865041
228121000 0.86504
228122000 0.865051
228123000 0.865051
228124000 0.865029
228125000 0.865013
228126000 0.864999
228127000 0.864999
228128000 0.865018
228129000 0.865026
228130000 0.865049
228131000 0.865053
228132000 0.865078
228133000 0.86508
228134000 0.865081
228135000 0.865077
228136000 0.865087
228137000 0.865084
228138000 0.865075
228139000 0.865076
228140000 0.865083
228141000 0.865098
228142000 0.865127
228143000 0.865149
228144000 0.865184
228145000 0.865194
228146000 0.865205
228147000 0.865226
228148000 0.865254
228149000 0.865289
228150000 0.865306
228151000 0.865325
228152000 0.865346
228153000 0.86537
228154000 0.86539
228155000 0.865406
228156000 0.865421
228157000 0.865434
228158000 0.865449
228159000 0.865451
228160000 0.865452
228161000 0.865456
228162000 0.865456
228163000 0.865444
228164000 0.865435
228165000 0.86544
228166000 0.865456
228167000 0.86546
228168000 0.865474
228169000 0.865477
228170000 0.8655
228171000 0.865507
228172000 0.865519
228173000 0.865523
228174000 0.865515
228175000 0.865502
228176000 0.865508
228177000 0.865498
228178000 0.865491
228179000 0.865505
228180000 0.865504
228181000 0.865503
228182000 0.865491
228183000 0.865487
228184000 0.865491
228185000 0.86551
228186000 0.865525
228187000 0.865548
228188000 0.865555
228189000 0.865565
228190000 0.865577
228191000 0.865577
228192000 0.865572
228193000 0.86557
228194000 0.865579
228195000 0.865591
228196000 0.865588
228197000 0.865596
228198000 0.865603
228199000 0.865606
228200000 0.865629
228201000 0.86564
228202000 0.86564
228203000 0.865645
228204000 0.865637
228205000 0.86564
228206000 0.865645
228207000 0.865645
228208000 0.865633
228209000 0.865623
228210000 0.865615
228211000 0.86561
228212000 0.865594
228213000 0.865591
228214000 0.865586
228215000 0.865582
228216000 0.865581
228217000 0.86558
228218000 0.865575
228219000 0.865563
228220000 0.865553
228221000 0.865545
228222000 0.865538
228223000 0.865538
228224000 0.865544
228225000 0.865547
228226000 0.865542
228227000 0.865534
228228000 0.865528
228229000 0.865525
228230000 0.86553
228231000 0.865517
228232000 0.865509
228233000 0.865509
228234000 0.865517
228235000 0.865516
228236000 0.865503
228237000 0.865499
228238000 0.86549
228239000 0.865493
228240000 0.865481
228241000 0.865475
228242000 0.86548
228243000 0.865486
228244000 0.865495
228245000 0.865507
228246000 0.865515
228247000 0.865516
228248000 0.865522
228249000 0.865521
228250000 0.865532
228251000 0.86553
228252000 0.865532
228253000 0.865541
228254000 0.865542
228255000 0.865533
228256000 0.865541
228257000 0.865543
228258000 0.865546
228259000 0.865543
228260000 0.865537
228261000 0.865534
228262000 0.865528
228263000 0.86553
228264000 0.86553
