# Time-averaged data for fix output_pressure
# TimeStep v_pxx v_pyy v_pzz v_pxy v_pxz v_pyz c_thermo_press
23001000 995.47 1237.27 1186.25 33.1224 73.5193 -95.9285 1139.66
23002000 1126.78 1138.2 1459.75 -59.494 6.49116 -99.8681 1241.58
23003000 967.63 861.003 930.666 -33.0344 5.42755 -25.0052 919.766
23004000 961.79 1164.58 1223.91 -29.9198 36.4389 -11.1845 1116.76
23005000 922.534 1024.78 1121.15 -13.1103 -16.6901 20.9824 1022.82
23006000 1022.83 1194.36 1352.16 19.7607 94.1347 25.6826 1189.79
23007000 1072.84 1027.12 1264.4 101.853 36.4235 2.7581 1121.45
23008000 1107.06 1096.61 1411.6 -50.4433 -91.4858 43.2391 1205.09
23009000 915.611 1000.61 1182.02 -74.4945 -63.5651 62.7252 1032.75
23010000 835.977 1015.4 1161.68 81.636 -58.6229 40.0541 1004.35
23011000 1022.06 1011.32 1047.97 46.2738 -103.984 -19.009 1027.12
23012000 995.773 1129.09 1005.43 73.5826 -57.3364 -45.4862 1043.43
23013000 1012 1301.32 1105.05 130.604 -7.75926 27.9851 1139.45
23014000 1015.15 1025.09 1081.85 19.3078 -90.0876 27.6437 1040.7
23015000 998.607 1267.44 1217.82 66.1568 -85.1844 22.5441 1161.29
23016000 1030.39 1221.37 1129.57 110.08 -35.5272 -41.3633 1127.11
23017000 1032.66 1173.72 867.174 134.648 49.7865 -120.978 1024.52
23018000 1101.43 1239.94 1154.55 136.098 -38.9641 -140.92 1165.31
23019000 1030.57 1140.57 1189.14 99.9102 -74.1186 -17.2236 1120.09
23020000 1122.79 1074.05 1143.99 160.505 -27.2984 -114.49 1113.61
23021000 1187.74 1095.76 1200.39 117.683 -134.515 -75.4761 1161.3
23022000 832.085 1060.62 1166.39 85.9579 -29.3605 14.6935 1019.7
23023000 911.167 1160.53 1185.08 86.517 -23.9199 -29.2301 1085.59
23024000 1021.99 1005.25 1043.71 112.626 -160.359 -109.778 1023.65
23025000 1036.16 1054.17 928.038 47.2249 -118.679 -60.0651 1006.12
23026000 938.281 1005.57 1070.56 69.5472 -42.9013 -176.04 1004.8
23027000 1014.18 923.607 1118.71 117.904 -14.5554 -141.758 1018.83
23028000 976.576 852.396 1182.44 -74.9093 22.145 -34.477 1003.8
23029000 910.65 1147.14 911.507 -13.2085 -150.019 -65.415 989.767
23030000 1079.67 1259.83 1204.61 -46.5554 -86.3514 -63.1803 1181.37
23031000 1056.23 1248.51 1288.1 -42.0684 -102.028 -57.3913 1197.61
23032000 919.768 1151.07 1288.82 26.5051 -72.2284 47.6761 1119.89
23033000 874.507 1131.91 1249.15 2.99443 -60.5224 29.4943 1085.19
23034000 1038.9 1178.53 1037.88 17.7725 -95.291 -52.4819 1085.11
23035000 1085.95 1135.59 1078.77 6.97438 -77.3515 -62.5146 1100.11
23036000 1141.22 1141.56 1056.17 -44.9441 -37.3258 -89.5617 1112.98
23037000 1062.2 1145.18 958.963 -40.999 -14.8592 50.1335 1055.45
23038000 1173.42 990.628 1092.78 -10.271 -163.267 108.711 1085.61
23039000 1047.49 1173.93 1250.44 6.57371 -128.415 -2.13881 1157.29
23040000 1130.23 899.058 947.809 38.9503 -112.587 -2.24986 992.367
23041000 1119.98 1005.65 1088.17 29.632 -113.468 -54.2733 1071.27
23042000 876.21 1020.38 1095.07 -74.643 -11.6626 -33.4928 997.222
23043000 1079.86 1198.59 1000.62 -39.0309 -164.03 -105.055 1093.02
23044000 1091.4 1268.92 963.307 -67.5482 -227.053 -50.7823 1107.88
23045000 863.095 1163.8 1157.58 -38.9352 -127.64 -155.914 1061.49
23046000 865.18 1009.29 1017.98 62.9078 -130.373 -134.904 964.151
23047000 877.492 999.429 960.497 -78.0659 -117.784 -47.6994 945.806
23048000 883.045 930.628 1168.73 -8.96336 -167.827 -67.1864 994.134
23049000 916.809 1217.36 1118.21 -69.4977 -225.896 -136.01 1084.13
23050000 863.772 1365.74 1125.86 -142.245 -54.7523 -135.954 1118.46
23051000 1097.97 1175.72 1216.44 -83.638 -128.157 -91.4577 1163.38
23052000 1089.47 1066.05 1362.29 -49.7701 -123.091 -88.5433 1172.6
23053000 1116.63 1187.76 1285.04 -7.98663 -103.292 -150.54 1196.47
23054000 973.14 1163.7 1210.6 -70.6813 -153.463 82.7008 1115.81
23055000 1081.36 1073.36 1191.68 5.55199 -117.869 -31.1171 1115.47
23056000 992.173 1036.33 1304.63 -53.3176 -150.585 -22.2143 1111.05
23057000 1159.7 1070.96 1250.09 -201.324 -80.0949 -49.8713 1160.25
23058000 981.297 961.638 921.367 -37.7657 -76.1549 -33.9849 954.767
23059000 931.765 1066.13 1061.94 53.7647 -139.836 -91.782 1019.95
23060000 1008.52 988.134 1120.17 124.995 -170.887 -17.8528 1038.94
23061000 1185.29 1039.62 1177.83 28.6224 -109.232 -74.0952 1134.25
23062000 1102.1 1110.84 949.85 71.9381 -121.872 8.4381 1054.26
23063000 1239.13 1101.53 1010.73 10.6551 -122.474 -4.86094 1117.13
23064000 921.998 1063.7 1040.1 11.4935 -131.872 57.4344 1008.6
23065000 1070.85 1126.93 1086.09 26.6407 -40.4476 13.6035 1094.63
23066000 1145.06 1263.61 1131.46 -91.186 31.92 -25.4666 1180.04
23067000 999.578 1193.81 1254.01 -175.374 -154.592 121.728 1149.13
23068000 998.271 1011.87 1147.14 -42.755 -114.692 43.6293 1052.43
23069000 987.692 1047.35 1122.47 -122.205 -111.696 33.4536 1052.5
23070000 967.478 1165.37 1198.22 -188.942 -141.481 94.5064 1110.36
23071000 1010.94 1166.39 1157.91 -81.4249 -135.507 26.0092 1111.75
23072000 1096.23 927.743 1039.89 -111.34 -165.019 49.5101 1021.29
23073000 1003.06 1024.1 1064.47 -30.6546 -188.241 99.6421 1030.54
23074000 1023.81 1114.09 1251.63 53.4166 -184.893 -6.87131 1129.85
23075000 1077.69 1276.15 1106.31 -25.0987 -246.572 -53.7717 1153.38
23076000 994.786 1102.57 1233.77 -37.1822 -150.403 124.517 1110.38
23077000 1179.22 1241.34 1160.84 -168.4 -134.401 -2.63184 1193.8
23078000 1112.28 1145.03 1212.96 -166.424 6.03033 -9.41354 1156.75
23079000 1133.76 1255.64 1106.31 -34.019 -138.711 19.3548 1165.24
23080000 1234.81 1292.21 1037.08 -104.37 -81.5653 37.7536 1188.04
23081000 1051.67 1045.23 1264.64 -125.123 -150.9 131.679 1120.51
23082000 917.06 1199.45 1175.6 41.4894 -209.414 122.041 1097.37
23083000 1197.96 1162.05 1105.51 5.69475 -91.7271 125.457 1155.17
23084000 1050.69 1156.36 1185.85 24.6723 -32.2368 -31.6616 1130.97
23085000 1180.25 1236.71 1114.39 -97.5038 -117.512 81.3014 1177.12
23086000 1104.05 1152.45 1034.81 -67.591 -172.559 -31.1124 1097.11
23087000 1056.68 881.474 1106.55 -87.7632 -89.2432 70.486 1014.9
23088000 1166.96 1200.06 1192.81 -31.1923 -51.7767 -23.8163 1186.61
23089000 1025.46 1129.19 1120.22 27.4888 -162.625 -65.9483 1091.63
23090000 1056.85 1018.75 1094.29 32.7612 -168.497 57.1417 1056.63
23091000 1186.95 1008.96 1348.38 -53.1116 -146.056 -70.7347 1181.43
23092000 1217.15 1115.54 1266.2 22.4543 -215.044 -53.0905 1199.63
23093000 1222.87 1139.67 1233.64 7.58432 -151.759 -24.2335 1198.73
23094000 909.13 860.046 963.658 -4.21329 -126.867 -39.3422 910.945
23095000 1132.92 927.128 1201.14 -17.5739 -133.129 50.5481 1087.06
23096000 1223.19 1129.94 1276.99 2.49908 -36.0807 49.7941 1210.04
23097000 1210.12 1086.83 1195.48 75.3663 -67.556 19.1653 1164.15
23098000 1028.3 1030.19 1144.11 81.713 -54.9173 4.50604 1067.53
23099000 945.383 883.989 1119.52 128.594 -69.3997 -3.23727 982.963
23100000 1100.59 1180.75 1165.45 91.3554 -165.047 48.1267 1148.93
23101000 1024.89 808.3 1139.48 -13.373 -228.211 -41.6617 990.891
23102000 868.403 1113.53 1374.94 12.9776 -61.4321 14.7826 1118.96
23103000 1038.15 1242.77 1447.47 71.4238 -128.602 69.594 1242.8
23104000 1032.59 1153.73 1193.59 -9.63753 -66.6539 95.0959 1126.64
23105000 1162.11 1403.69 1184.91 61.7281 -98.27 30.6836 1250.24
23106000 1062.97 981.154 1275.73 -45.372 -116.812 -65.2198 1106.62
23107000 951.729 1309.64 1165.71 -60.7241 -90.2132 -51.7143 1142.36
23108000 932.408 1058.47 1192.81 82.3258 -59.2504 64.6949 1061.23
23109000 1135.99 1036.39 1277.27 3.18781 16.1446 71.1983 1149.88
23110000 1081.02 1132.14 1302.28 13.1279 -101.926 75.3543 1171.81
23111000 1008.8 1116.15 1222.73 -71.8986 -74.1493 -4.55427 1115.9
23112000 910.681 1267.73 1276.27 24.8905 -59.3876 -62.7795 1151.56
23113000 1017.31 1068.01 1099.09 70.2834 -17.8406 69.363 1061.47
23114000 1107.46 1357.77 1183.13 -33.4404 -129.256 -3.23971 1216.12
23115000 949.101 1041.77 996.134 99.2563 -228.261 17.1565 995.67
23116000 1114.2 1276.58 1264.55 36.2335 -258.122 -90.7876 1218.45
23117000 1037.38 1188.22 1287.63 39.5385 -174.127 12.0765 1171.08
23118000 1093.4 1154.01 1286.83 -22.6241 6.87357 -0.507493 1178.08
23119000 979.473 1032.3 1125.01 -21.0893 -87.8317 119.017 1045.6
23120000 1087.21 1184.08 1367.96 45.6735 -143.549 45.5962 1213.08
23121000 1052.74 1247.87 1311.7 12.0676 -120.933 72.3028 1204.1
23122000 1130.16 1088.7 1172.4 38.1934 -101.37 128.09 1130.42
23123000 1087.87 1117.63 1145.05 -18.1053 -92.4283 25.2701 1116.85
23124000 1275.75 1063.43 1154.6 18.9284 -106.381 122.07 1164.59
23125000 1112.17 1089.52 1166.61 -15.087 -117.303 7.8172 1122.77
23126000 1285.4 1326.51 1135.35 -107.705 -124.683 -27.9383 1249.08
23127000 1041.71 1301.24 988.871 97.1943 -14.0428 -40.5771 1110.61
23128000 992.947 1225.82 1357.09 -139.671 -115.435 -6.42899 1191.95
23129000 1094.09 1246.83 1247.3 -120.73 -21.3848 -59.6151 1196.08
23130000 1050.37 1279.24 1269.29 -163.968 -42.7087 -12.753 1199.63
23131000 1087.63 1307.04 1118.58 -127.583 -12.3209 -21.4944 1171.08
23132000 1022.49 1413.3 1296.43 -84.7025 -2.388 -76.6683 1244.07
23133000 983.315 1275.69 1163.14 -23.8445 31.2804 -179.731 1140.72
23134000 1012.07 1137.02 1240.77 -96.901 14.475 -103.266 1129.96
23135000 1070.03 1219.25 1271.55 -59.8808 50.2104 -82.8848 1186.95
23136000 1095.92 1353.46 1423.94 -23.8926 102.477 -101.911 1291.11
23137000 930.438 1102.96 1114.71 43.2451 21.3662 -25.5466 1049.37
23138000 979.486 1315.37 1246.71 8.99298 -33.0704 -52.8639 1180.52
23139000 945.908 1420.16 966.099 -31.9042 -15.757 -25.3703 1110.72
23140000 1110.8 1279.34 1220.43 -66.9007 -101.382 -13.1077 1203.52
23141000 1143.93 1156.08 1403.12 -128.224 -49.8655 35.6283 1234.38
23142000 1118.5 1280.36 1355.09 -96.0378 -60.1908 -82.8578 1251.31
23143000 1126.91 1118.34 1293.23 -12.0889 -245.632 20.9873 1179.49
23144000 1073.79 1291.22 1190.68 -115.981 -37.9531 -33.8064 1185.23
23145000 882.496 1240 1097.29 -88.3868 -113.36 3.37856 1073.26
23146000 944.086 1182.73 1175.59 -75.4836 -145.001 -40.4782 1100.8
23147000 1020.19 1266.59 1313.84 -110.093 -3.85872 -66.4481 1200.2
23148000 1109.47 1294.18 1302.9 -47.6164 -162.831 -55.7223 1235.52
23149000 1019.61 1243.16 1244.91 -6.45348 -2.69122 -50.678 1169.23
23150000 920.845 1334.91 1197.99 -85.8923 -107.77 -90.3168 1151.25
23151000 940.909 1230.35 1216.13 -79.3117 -123.33 32.35 1129.13
23152000 982.794 1233.35 1130.24 -12.1632 -55.4677 -34.848 1115.46
23153000 966.844 1192.9 1172.9 -13.7122 -69.1931 -5.45461 1110.88
23154000 1098.94 1345.65 1220.11 -26.7973 -42.7883 -21.2447 1221.56
23155000 922.174 1322.35 1246.14 -16.5359 -133.098 -77.8714 1163.55
23156000 1185.44 1361.76 1272.84 -60.9673 -99.6504 -90.3896 1273.35
23157000 1116.04 1296 1173.2 -132.721 -77.673 -22.1215 1195.08
23158000 1035.4 1426.96 1463.97 -82.4195 -105.686 16.3206 1308.78
23159000 1085.1 1393.54 1199.25 -25.0415 -21.0056 38.5383 1225.96
23160000 936.297 1180.75 1164.79 -28.9146 -38.056 -3.457 1093.95
23161000 826.98 1123.61 1078.62 -69.9755 -132.162 -56.7838 1009.74
23162000 933.468 1027.32 1286.13 65.3741 -149.896 -59.7202 1082.3
23163000 1192.58 1061.77 1215.88 -53.2956 -85.0045 -128.438 1156.75
23164000 1026.5 1192.3 1180.23 -84.0307 -66.2523 16.1077 1133.01
23165000 996.622 1359.43 1344.35 -128.38 -109.687 -41.0387 1233.47
23166000 1015.86 1420.3 1309.13 -95.4766 -47.0592 -127.458 1248.43
23167000 877.736 1333.98 1250.24 -51.1555 -97.9166 -28.4928 1153.99
23168000 1044.13 1404.21 1454.91 34.7159 -34.3316 -69.9406 1301.08
23169000 939.65 1194.52 1353.26 -45.5435 -163.405 -112.615 1162.48
23170000 821.222 1038 1251.08 13.2485 -112.023 -62.9158 1036.77
23171000 1217.26 1333.8 1287.16 -8.34514 -58.2627 -171.96 1279.4
23172000 943.81 1454.36 1389.78 19.8086 -190.129 -131.069 1262.65
23173000 930.417 1578.79 1437.99 7.23357 -90.3657 -70.5711 1315.73
23174000 904.292 1273.9 1217.54 -89.4491 -193.927 -297.519 1131.91
23175000 768.434 1262.91 943.172 -125.647 -128.031 -164.446 991.504
23176000 892.354 1340.01 1130.1 -88.0409 -140.758 -205.359 1120.82
23177000 853.276 1250.08 1065.55 -52.2162 -167.18 -179.554 1056.3
23178000 1010.95 1302.52 1258.37 -27.3184 -84.5909 -114.997 1190.61
23179000 1171.39 1313.63 1143.14 -60.3144 -54.3624 -11.0713 1209.38
23180000 977.067 1301.59 1204.88 -63.2157 -82.9751 -45.9712 1161.18
23181000 1286.49 1550.71 1416.4 -42.8838 -139.616 32.8448 1417.87
23182000 1016.65 1253.54 1192.35 -131.271 -34.3956 -53.4747 1154.18
23183000 931.75 1264.46 1233.03 -140.781 -195.097 -123.911 1143.08
23184000 1155.02 1277.08 1385.75 -35.729 -117.171 31.4373 1272.62
23185000 1054.68 1371.32 1282.76 -171.088 -16.513 -55.9248 1236.25
23186000 1123.53 1445.27 1243.04 -173.252 -124.398 2.35386 1270.61
23187000 899.659 1252.55 1478.87 -12.8148 -5.80466 -16.2589 1210.36
23188000 998.778 1193.2 1198.53 -47.7425 -79.4733 -172.165 1130.17
23189000 838.649 1213.84 1206.02 -98.832 -76.0557 -205.173 1086.17
23190000 862.6 1121.1 1441.47 -75.0225 -4.42907 29.1673 1141.72
23191000 985.239 1281.09 1443.73 11.2443 -96.2685 20.3974 1236.68
23192000 906.006 1238.21 1322.31 -85.7494 -90.0889 -95.5713 1155.51
23193000 785.749 1141.86 1221.53 -166.254 23.0016 -136.168 1049.71
23194000 832.647 1153.82 1150.13 -20.4349 1.06103 -106.753 1045.53
23195000 1039 1200 1233.8 -17.4883 -55.168 6.61583 1157.6
23196000 848.131 1208.46 1192.4 -149.346 -131.791 -69.7991 1083
23197000 982.299 1208.62 1097.31 -112.028 -75.4884 -55.0727 1096.08
23198000 1036.41 1080.41 1150.88 -129.425 -87.5069 -90.1819 1089.23
23199000 849.096 1156.6 1165.62 -132.258 -49.3401 -27.1926 1057.11
23200000 908.355 1240.56 1188.58 -161.682 -121.207 -134.545 1112.5
23201000 1032.62 1234.03 1084.48 -51.5899 24.958 31.5681 1117.04
23202000 994.663 1150.62 1235.11 -195.411 23.0261 12.8837 1126.8
23203000 957.094 1316.46 1069.79 -234.595 7.97032 -34.7696 1114.45
23204000 944.19 1368.8 1077.58 -203.757 -72.4973 -78.0784 1130.19
23205000 1053.93 1190.44 970.438 -144.516 -67.6394 -123.84 1071.6
23206000 1053.03 1250.67 1266.13 -24.4519 -89.1824 0.62155 1189.94
23207000 1134.7 1084.57 1125.2 -9.00387 -108.254 -78.4378 1114.83
23208000 932.034 1065.54 1203.82 -201.362 -42.2016 41.6057 1067.13
23209000 1027.91 1229.37 1138.47 -180.73 -62.924 -64.5545 1131.92
23210000 1155.86 1318.41 1402.01 -126.521 -130.071 -6.55272 1292.09
23211000 1094.74 1178.98 1207.21 2.02109 -31.888 96.3103 1160.31
23212000 1092.17 1147.16 1163.5 -2.21318 -141.715 -41.6469 1134.28
23213000 1003.94 1230.23 1151.84 -91.608 -42.0697 80.3874 1128.67
23214000 1091.12 1241.03 1171.95 -122.984 -5.89308 37.0104 1168.03
23215000 1172.8 1280.8 1115.5 -106.571 -76.4618 51.1149 1189.7
23216000 1162.32 1191.76 1092.93 -101.216 -46.9375 -7.94808 1149
23217000 1126.99 1238.32 1287.9 -64.3961 -97.925 130.09 1217.73
23218000 1169.42 1260.87 1210.59 -9.08118 -80.2792 12.7937 1213.63
23219000 1153.26 1211.68 1445.3 -36.5696 -70.7124 60.4796 1270.08
23220000 1131.82 1315.87 1013.01 -189.565 -101.881 20.48 1153.56
23221000 1173.99 1254.24 1105.63 -103.108 -71.4385 -28.9922 1177.95
23222000 1091.96 1251.14 1190.2 -109.188 -62.1508 -78.5084 1177.77
23223000 971.51 1042.94 1009.66 -32.8054 -5.60043 136.156 1008.04
23224000 1126.81 1100.39 1123.39 -86.6575 -83.0301 -37.7023 1116.86
23225000 1199.26 1225.67 1189.74 -75.459 -98.3187 58.1845 1204.89
23226000 1190.01 1340.8 1271.4 -106.38 -23.7912 64.7816 1267.4
23227000 1291.17 1396.93 1188.74 -35.4447 -10.0298 -6.30001 1292.28
23228000 1178.21 1349.6 1135.71 -168.242 54.6104 -72.1866 1221.18
23229000 1364.28 1389.08 1059.73 -20.5169 -59.7792 -83.4179 1271.03
23230000 1155.49 1013.11 938.964 -122.658 -57.9051 -53.981 1035.86
23231000 919.679 993.285 996.641 -55.2434 -66.3013 46.8182 969.868
23232000 1177.35 1114.89 1036.07 -54.4977 -108.509 -5.94017 1109.44
23233000 1132.41 1187.92 968.532 -91.8366 -78.9484 -118.392 1096.29
23234000 912.743 1090.01 782.308 -41.7902 -5.70044 -87.7243 928.354
23235000 1118.84 1173.21 1220.02 -90.6385 -65.3866 -57.3591 1170.69
23236000 1044.76 1042.13 1134.7 -83.9361 -56.0445 -139.889 1073.86
23237000 1107.39 1106.48 1003.7 -134.582 -52.8521 -168.531 1072.52
23238000 926.808 1128.91 1164.22 -172.466 -0.246939 -91.3266 1073.31
