# Time-averaged data for fix state_variables
# TimeStep c_thermo_temp v_vol v_rho v_etotal v_a v_b v_c
23001000 293.94 100432 0.87381 2143.85 46.4827 46.4827 46.4827
23002000 292.662 100433 0.873804 2112.57 46.4828 46.4828 46.4828
23003000 293.105 100434 0.873798 2109.29 46.4829 46.4829 46.4829
23004000 292.54 100434 0.873791 2091.51 46.483 46.483 46.483
23005000 293.591 100435 0.873785 2126.87 46.4831 46.4831 46.4831
23006000 292.374 100436 0.873778 2101.02 46.4832 46.4832 46.4832
23007000 292.523 100437 0.873772 2109.34 46.4833 46.4833 46.4833
23008000 292.521 100437 0.873766 2125.67 46.4834 46.4834 46.4834
23009000 292.873 100438 0.873759 2113.74 46.4836 46.4836 46.4836
23010000 291.714 100439 0.873753 2088.41 46.4837 46.4837 46.4837
23011000 293.065 100439 0.873747 2108.7 46.4838 46.4838 46.4838
23012000 292.587 100440 0.87374 2090.99 46.4839 46.4839 46.4839
23013000 294.509 100441 0.873734 2137.52 46.484 46.484 46.484
23014000 293.82 100442 0.873727 2140.83 46.4841 46.4841 46.4841
23015000 293.198 100442 0.873721 2143.82 46.4842 46.4842 46.4842
23016000 292.75 100443 0.873715 2109.35 46.4844 46.4844 46.4844
23017000 290.419 100444 0.873708 2070.93 46.4845 46.4845 46.4845
23018000 292.595 100445 0.873702 2127.16 46.4846 46.4846 46.4846
23019000 294.332 100445 0.873696 2162.15 46.4847 46.4847 46.4847
23020000 293.581 100446 0.873689 2130.66 46.4848 46.4848 46.4848
23021000 293.624 100447 0.873683 2123.34 46.4849 46.4849 46.4849
23022000 293.529 100448 0.873676 2118.14 46.485 46.485 46.485
23023000 293.412 100448 0.87367 2129.63 46.4851 46.4851 46.4851
23024000 292.983 100449 0.873664 2122.94 46.4853 46.4853 46.4853
23025000 291.162 100450 0.873657 2092.08 46.4854 46.4854 46.4854
23026000 293.297 100450 0.873651 2127.43 46.4855 46.4855 46.4855
23027000 293.42 100451 0.873644 2142.57 46.4856 46.4856 46.4856
23028000 295.012 100452 0.873638 2187.82 46.4857 46.4857 46.4857
23029000 290.603 100453 0.873632 2087.34 46.4858 46.4858 46.4858
23030000 290.335 100453 0.873625 2080.09 46.4859 46.4859 46.4859
23031000 293.204 100454 0.873619 2164.93 46.486 46.486 46.486
23032000 293.602 100455 0.873613 2145.18 46.4862 46.4862 46.4862
23033000 293.236 100456 0.873606 2131.68 46.4863 46.4863 46.4863
23034000 294.698 100456 0.8736 2186.37 46.4864 46.4864 46.4864
23035000 292.662 100457 0.873593 2127.31 46.4865 46.4865 46.4865
23036000 294.842 100458 0.873587 2179.4 46.4866 46.4866 46.4866
23037000 291.02 100459 0.873581 2090.77 46.4867 46.4867 46.4867
23038000 293 100459 0.873574 2136.28 46.4868 46.4868 46.4868
23039000 294.952 100460 0.873568 2187.75 46.487 46.487 46.487
23040000 292.586 100461 0.873562 2120.8 46.4871 46.4871 46.4871
23041000 291.928 100461 0.873555 2118.25 46.4872 46.4872 46.4872
23042000 291.82 100462 0.873549 2117.42 46.4873 46.4873 46.4873
23043000 291.943 100463 0.873542 2118.87 46.4874 46.4874 46.4874
23044000 292.735 100464 0.873536 2140.33 46.4875 46.4875 46.4875
23045000 294.797 100464 0.87353 2177.47 46.4876 46.4876 46.4876
23046000 292.557 100465 0.873523 2147.24 46.4877 46.4877 46.4877
23047000 293.587 100466 0.873517 2145.03 46.4879 46.4879 46.4879
23048000 291.815 100467 0.873511 2103.73 46.488 46.488 46.488
23049000 293.099 100467 0.873504 2149.49 46.4881 46.4881 46.4881
23050000 294.983 100468 0.873498 2162.4 46.4882 46.4882 46.4882
23051000 293.127 100469 0.873491 2137.43 46.4883 46.4883 46.4883
23052000 293.535 100470 0.873485 2167.84 46.4884 46.4884 46.4884
23053000 293.552 100470 0.873479 2154.32 46.4885 46.4885 46.4885
23054000 293.018 100471 0.873472 2159.52 46.4886 46.4886 46.4886
23055000 293.159 100472 0.873466 2138.12 46.4888 46.4888 46.4888
23056000 291.58 100472 0.873459 2087.74 46.4889 46.4889 46.4889
23057000 294.213 100473 0.873453 2131.26 46.489 46.489 46.489
23058000 291.976 100474 0.873447 2061.19 46.4891 46.4891 46.4891
23059000 291.445 100475 0.87344 2052.23 46.4892 46.4892 46.4892
23060000 294.562 100475 0.873434 2135.29 46.4893 46.4893 46.4893
23061000 292.142 100476 0.873428 2104.94 46.4894 46.4894 46.4894
23062000 292.822 100477 0.873421 2090.02 46.4896 46.4896 46.4896
23063000 292.196 100478 0.873415 2085.52 46.4897 46.4897 46.4897
23064000 293.842 100478 0.873408 2140.56 46.4898 46.4898 46.4898
23065000 292.249 100479 0.873402 2103.15 46.4899 46.4899 46.4899
23066000 293.034 100480 0.873396 2111.71 46.49 46.49 46.49
23067000 293.001 100481 0.873389 2130.69 46.4901 46.4901 46.4901
