# Time-averaged data for fix output_pressure
# TimeStep v_pxx v_pyy v_pzz v_pxy v_pxz v_pyz c_thermo_press
11001000 -194.717 -84.9403 -255.372 -4.43327 -28.6144 -42.169 -178.343
11002000 -129.507 -141.234 110.224 31.086 63.7182 19.9404 -53.5056
11003000 -255.519 -227.671 -191.848 -30.3061 19.3359 12.795 -225.013
11004000 -317.616 -192.127 -151.725 -32.0861 13.7712 -42.783 -220.49
11005000 -105.345 -35.0651 -220.938 93.7226 -107.2 59.5981 -120.449
11006000 -128.407 -51.5308 -50.0992 -1.26861 8.48888 2.10252 -76.679
11007000 -3.31444 -152.977 64.5368 -84.4167 32.7512 -5.63967 -30.5849
11008000 10.5692 35.6024 -167.911 -14.8935 1.03629 -1.89386 -40.5799
11009000 -3.00821 -62.583 -251.1 45.0431 31.9102 64.017 -105.564
11010000 102.521 -127.735 -75.8094 -19.7953 22.2501 98.3746 -33.6746
11011000 -171.625 -145.674 -45.4226 -7.81855 169.203 106.81 -120.907
11012000 69.3267 -65.3369 -51.8228 46.4239 53.269 93.0228 -15.9444
11013000 9.07478 -105.496 -130.429 -57.9947 38.395 112.173 -75.6169
11014000 -30.8254 -84.208 -93.2091 52.7789 -37.0272 34.2303 -69.4142
11015000 -175.896 -117.057 -28.5731 -50.0348 105.346 39.8278 -107.175
11016000 -206.405 -91.6622 -60.989 50.4047 53.9785 31.7768 -119.685
11017000 -154.548 -163.023 -137.283 9.58739 29.7658 61.8516 -151.618
11018000 -72.9482 -42.3028 -122.006 42.3154 -11.3151 19.3743 -79.0858
11019000 -61.6445 -50.5445 -3.63943 78.0453 42.5626 157.622 -38.6095
11020000 70.4221 -87.7283 33.3331 26.3976 24.4806 97.8558 5.34228
11021000 -164.846 -168.957 -228.93 53.3463 67.5875 43.0048 -187.578
11022000 -7.88726 -52.4878 -104.579 28.8659 68.4351 184.405 -54.9848
11023000 -145.878 -131.399 -158.48 46.9705 56.0362 114.075 -145.252
11024000 -177.422 -252.834 -171.339 68.5739 57.0519 81.2228 -200.532
11025000 -147.225 -0.470266 -192.791 -29.4862 140.086 40.316 -113.496
11026000 -150.235 -53.8096 11.9279 27.4412 131.239 30.9588 -64.0389
11027000 -161.052 -137.028 -93.6884 -68.7838 50.4656 102.842 -130.589
11028000 -23.7596 -44.086 0.0286735 -35.7474 16.2802 -14.8432 -22.6056
11029000 -99.2466 -246.932 -184.334 -32.8045 97.4288 13.0461 -176.837
11030000 -45.3387 -165.369 -173.898 -7.99578 113.95 11.5254 -128.202
11031000 25.9925 -66.4773 -43.0375 49.4378 82.6582 72.9285 -27.8408
11032000 87.5248 -159.374 -58.9875 88.522 11.7172 29.4688 -43.6123
11033000 147.062 4.71264 -33.2496 152.054 34.4205 -1.84144 39.5083
11034000 -37.2443 -77.8769 -108.245 76.9423 59.0192 14.9941 -74.4555
11035000 -8.09085 -136.692 -156.31 81.2739 107.141 18.7163 -100.365
11036000 144.99 181.667 -20.3836 41.6679 100.143 -100.099 102.091
11037000 39.0409 219.015 66.272 -69.893 96.7661 -46.3495 108.109
11038000 -31.7192 54.9233 -107.35 -154.004 92.4399 32.4071 -28.0485
11039000 -21.7785 -50.6665 -150.622 -16.7924 -0.453067 -10.255 -74.3558
11040000 100.251 -32.5933 -66.1474 52.251 101.526 -9.93925 0.503346
11041000 9.3679 121.865 43.1904 -30.6418 135.512 18.9774 58.141
11042000 -44.8729 123.788 -33.9564 -45.0408 91.2495 17.8813 14.9861
11043000 -74.0177 31.8955 -31.5146 54.3462 112.217 18.741 -24.5456
