# Time-averaged data for fix state_variables
# TimeStep c_thermo_temp v_vol v_rho v_etotal v_a v_b v_c
11001000 292.002 107140 0.819104 2306.86 47.4953 47.4953 47.4953
11002000 293.497 107133 0.819152 2341.98 47.4943 47.4943 47.4943
11003000 294.556 107127 0.819201 2368.41 47.4934 47.4934 47.4934
11004000 292.4 107121 0.819249 2302.32 47.4925 47.4925 47.4925
11005000 291.735 107115 0.819297 2299.79 47.4915 47.4915 47.4915
11006000 294.401 107108 0.819346 2360.57 47.4906 47.4906 47.4906
11007000 291.964 107102 0.819394 2309.23 47.4897 47.4897 47.4897
11008000 293.471 107096 0.819443 2323.48 47.4887 47.4887 47.4887
11009000 291.8 107089 0.819491 2299.73 47.4878 47.4878 47.4878
11010000 292.91 107083 0.819539 2347.78 47.4868 47.4868 47.4868
11011000 292.326 107077 0.819588 2329.18 47.4859 47.4859 47.4859
11012000 292.499 107070 0.819636 2319.13 47.485 47.485 47.485
11013000 293.026 107064 0.819685 2330.85 47.484 47.484 47.484
11014000 292.823 107058 0.819733 2317.46 47.4831 47.4831 47.4831
11015000 293.851 107051 0.819781 2348.7 47.4822 47.4822 47.4822
11016000 292.833 107045 0.81983 2326.74 47.4812 47.4812 47.4812
11017000 293.011 107039 0.819878 2320.36 47.4803 47.4803 47.4803
11018000 292.98 107032 0.819927 2311.74 47.4794 47.4794 47.4794
11019000 294.88 107026 0.819975 2352.75 47.4784 47.4784 47.4784
11020000 293.193 107020 0.820024 2332.17 47.4775 47.4775 47.4775
11021000 291.653 107013 0.820072 2272.91 47.4766 47.4766 47.4766
11022000 293.935 107007 0.82012 2351.53 47.4756 47.4756 47.4756
11023000 292.757 107001 0.820169 2338.44 47.4747 47.4747 47.4747
11024000 293.316 106994 0.820217 2337.82 47.4738 47.4738 47.4738
11025000 294.753 106988 0.820266 2370.22 47.4728 47.4728 47.4728
11026000 294.513 106982 0.820314 2370.21 47.4719 47.4719 47.4719
11027000 293.154 106975 0.820363 2316.85 47.471 47.471 47.471
11028000 293.026 106969 0.820411 2321.8 47.47 47.47 47.47
11029000 294.149 106963 0.82046 2370.01 47.4691 47.4691 47.4691
11030000 293.785 106956 0.820508 2353.25 47.4682 47.4682 47.4682
11031000 292.419 106950 0.820557 2341.13 47.4672 47.4672 47.4672
11032000 295.964 106944 0.820605 2400.79 47.4663 47.4663 47.4663
11033000 294.776 106938 0.820654 2384.25 47.4653 47.4653 47.4653
11034000 293.184 106931 0.820702 2332.74 47.4644 47.4644 47.4644
11035000 294.699 106925 0.820751 2371.23 47.4635 47.4635 47.4635
11036000 294.815 106919 0.820799 2370.89 47.4625 47.4625 47.4625
11037000 294.502 106912 0.820848 2360.97 47.4616 47.4616 47.4616
11038000 292.076 106906 0.820896 2299.92 47.4607 47.4607 47.4607
11039000 291.83 106900 0.820945 2285.57 47.4597 47.4597 47.4597
11040000 293.226 106893 0.820993 2333.9 47.4588 47.4588 47.4588
11041000 291.851 106887 0.821042 2313.22 47.4579 47.4579 47.4579
11042000 294.711 106881 0.82109 2346.13 47.4569 47.4569 47.4569
11043000 291.397 106874 0.821139 2277.1 47.456 47.456 47.456
11044000 292.712 106868 0.821187 2309.91 47.4551 47.4551 47.4551
11045000 294.758 106862 0.821236 2364.92 47.4541 47.4541 47.4541
11046000 293.443 106855 0.821284 2313.68 47.4532 47.4532 47.4532
11047000 291.408 106849 0.821333 2275.22 47.4523 47.4523 47.4523
11048000 291.691 106843 0.821381 2287.28 47.4513 47.4513 47.4513
11049000 292.823 106836 0.82143 2322.01 47.4504 47.4504 47.4504
11050000 291.804 106830 0.821478 2313.47 47.4495 47.4495 47.4495
11051000 294.215 106824 0.821527 2376.22 47.4485 47.4485 47.4485
11052000 291.679 106818 0.821575 2302.76 47.4476 47.4476 47.4476
11053000 292.384 106811 0.821624 2331.34 47.4467 47.4467 47.4467
11054000 292.623 106805 0.821673 2325.22 47.4457 47.4457 47.4457
11055000 290.893 106799 0.821721 2277.64 47.4448 47.4448 47.4448
11056000 294.197 106792 0.82177 2367.55 47.4439 47.4439 47.4439
11057000 293.45 106786 0.821818 2339.81 47.4429 47.4429 47.4429
11058000 293.848 106780 0.821867 2327.43 47.442 47.442 47.442
11059000 293.993 106773 0.821915 2342.37 47.441 47.441 47.441
11060000 293.739 106767 0.821964 2369.44 47.4401 47.4401 47.4401
11061000 291.045 106761 0.822013 2279.86 47.4392 47.4392 47.4392
11062000 292.277 106754 0.822061 2294.14 47.4382 47.4382 47.4382
11063000 292.181 106748 0.82211 2304.88 47.4373 47.4373 47.4373
11064000 296.421 106742 0.822158 2385.31 47.4364 47.4364 47.4364
11065000 294.226 106735 0.822207 2347.87 47.4354 47.4354 47.4354
11066000 292.617 106729 0.822256 2318.33 47.4345 47.4345 47.4345
11067000 292.344 106723 0.822304 2284.88 47.4336 47.4336 47.4336
11068000 292.133 106717 0.822353 2280.24 47.4326 47.4326 47.4326
11069000 294.335 106710 0.822401 2334.66 47.4317 47.4317 47.4317
11070000 292.837 106704 0.82245 2308.13 47.4308 47.4308 47.4308
11071000 291.278 106698 0.822499 2272.22 47.4298 47.4298 47.4298
11072000 294.29 106691 0.822547 2349.73 47.4289 47.4289 47.4289
11073000 294.885 106685 0.822596 2376.61 47.428 47.428 47.428
11074000 293.157 106679 0.822645 2321.81 47.427 47.427 47.427
11075000 294.192 106672 0.822693 2339.4 47.4261 47.4261 47.4261
11076000 293.44 106666 0.822742 2321.7 47.4252 47.4252 47.4252
11077000 291.927 106660 0.822791 2300.12 47.4242 47.4242 47.4242
11078000 291.185 106653 0.822839 2274.23 47.4233 47.4233 47.4233
11079000 293.92 106647 0.822888 2340.41 47.4224 47.4224 47.4224
11080000 292.582 106641 0.822937 2315.92 47.4214 47.4214 47.4214
11081000 292.721 106635 0.822985 2324.31 47.4205 47.4205 47.4205
11082000 293.111 106628 0.823034 2333.35 47.4195 47.4195 47.4195
11083000 291.239 106622 0.823083 2281.5 47.4186 47.4186 47.4186
11084000 294.678 106616 0.823131 2368.21 47.4177 47.4177 47.4177
11085000 292.994 106609 0.82318 2312.27 47.4167 47.4167 47.4167
11086000 292.195 106603 0.823229 2303.5 47.4158 47.4158 47.4158
11087000 290.912 106597 0.823277 2291.03 47.4149 47.4149 47.4149
11088000 293.035 106590 0.823326 2313.3 47.4139 47.4139 47.4139
11089000 292.377 106584 0.823375 2309.74 47.413 47.413 47.413
11090000 293.23 106578 0.823423 2311.86 47.4121 47.4121 47.4121
11091000 292.429 106571 0.823472 2284.17 47.4111 47.4111 47.4111
11092000 292.978 106565 0.823521 2331.13 47.4102 47.4102 47.4102
11093000 292.578 106559 0.82357 2316.3 47.4093 47.4093 47.4093
11094000 294.786 106553 0.823618 2359.38 47.4083 47.4083 47.4083
11095000 292.437 106546 0.823667 2318.29 47.4074 47.4074 47.4074
11096000 291.94 106540 0.823716 2284.99 47.4065 47.4065 47.4065
11097000 294.061 106534 0.823764 2326.6 47.4055 47.4055 47.4055
11098000 293.38 106527 0.823813 2299.27 47.4046 47.4046 47.4046
11099000 293.523 106521 0.823862 2308.03 47.4037 47.4037 47.4037
11100000 294.123 106515 0.823911 2328.54 47.4027 47.4027 47.4027
11101000 294.947 106508 0.823959 2349.02 47.4018 47.4018 47.4018
11102000 293.554 106502 0.824008 2316.89 47.4009 47.4009 47.4009
11103000 292.88 106496 0.824057 2282.94 47.3999 47.3999 47.3999
11104000 293.188 106490 0.824106 2300.67 47.399 47.399 47.399
11105000 293.501 106483 0.824154 2318.4 47.398 47.398 47.398
11106000 292.026 106477 0.824203 2272.44 47.3971 47.3971 47.3971
11107000 291.548 106471 0.824252 2243.77 47.3962 47.3962 47.3962
11108000 293.071 106464 0.824301 2313.99 47.3952 47.3952 47.3952
11109000 292.982 106458 0.824349 2293.77 47.3943 47.3943 47.3943
11110000 292.726 106452 0.824398 2300.79 47.3934 47.3934 47.3934
11111000 291.929 106445 0.824447 2282.58 47.3924 47.3924 47.3924
11112000 292.269 106439 0.824496 2289.5 47.3915 47.3915 47.3915
11113000 291.641 106433 0.824545 2262.15 47.3906 47.3906 47.3906
11114000 294.195 106427 0.824593 2308.33 47.3896 47.3896 47.3896
11115000 295.257 106420 0.824642 2359.38 47.3887 47.3887 47.3887
11116000 294.47 106414 0.824691 2331.55 47.3878 47.3878 47.3878
11117000 293.433 106408 0.82474 2333.61 47.3868 47.3868 47.3868
11118000 295.11 106401 0.824789 2379.93 47.3859 47.3859 47.3859
11119000 293.124 106395 0.824837 2306.01 47.385 47.385 47.385
11120000 293.78 106389 0.824886 2328.03 47.384 47.384 47.384
11121000 293.371 106382 0.824935 2314.96 47.3831 47.3831 47.3831
11122000 291.695 106376 0.824984 2272.71 47.3822 47.3822 47.3822
11123000 294.399 106370 0.825033 2342.71 47.3812 47.3812 47.3812
11124000 292.141 106364 0.825082 2287.73 47.3803 47.3803 47.3803
11125000 293.235 106357 0.82513 2292.17 47.3794 47.3794 47.3794
11126000 291.308 106351 0.825179 2257.07 47.3784 47.3784 47.3784
11127000 293.06 106345 0.825228 2300.53 47.3775 47.3775 47.3775
11128000 291.176 106338 0.825277 2240.44 47.3765 47.3765 47.3765
11129000 293.384 106332 0.825326 2293.16 47.3756 47.3756 47.3756
11130000 293.104 106326 0.825375 2306.26 47.3747 47.3747 47.3747
11131000 294.595 106320 0.825423 2344.74 47.3737 47.3737 47.3737
11132000 291.755 106313 0.825472 2258.7 47.3728 47.3728 47.3728
11133000 292.49 106307 0.825521 2283.94 47.3719 47.3719 47.3719
