# Time-averaged data for fix dave
# TimeStep v_massdensity
18001000 0.86299
18002000 0.863801
18003000 0.863584
18004000 0.863163
18005000 0.862917
18006000 0.862892
18007000 0.863159
18008000 0.863324
18009000 0.863505
18010000 0.863333
18011000 0.863469
18012000 0.863511
18013000 0.863561
18014000 0.863634
18015000 0.863593
18016000 0.863448
18017000 0.863289
18018000 0.863299
18019000 0.863245
18020000 0.863132
18021000 0.863074
18022000 0.863079
18023000 0.863057
18024000 0.863143
18025000 0.86319
18026000 0.863245
18027000 0.863301
18028000 0.863356
18029000 0.863448
18030000 0.863462
18031000 0.86351
18032000 0.86351
18033000 0.863455
18034000 0.863428
18035000 0.86346
18036000 0.863521
18037000 0.863544
18038000 0.863615
18039000 0.863696
18040000 0.863719
18041000 0.863786
18042000 0.863844
18043000 0.863887
18044000 0.863931
18045000 0.863924
18046000 0.863957
18047000 0.864031
18048000 0.864052
18049000 0.864121
18050000 0.864183
18051000 0.864223
18052000 0.864226
18053000 0.864245
18054000 0.864238
18055000 0.864264
18056000 0.864255
18057000 0.864283
18058000 0.8643
18059000 0.864326
18060000 0.864369
18061000 0.864357
18062000 0.864349
18063000 0.864335
18064000 0.864321
18065000 0.864338
18066000 0.864336
18067000 0.864337
18068000 0.864336
18069000 0.864313
18070000 0.864313
18071000 0.864325
18072000 0.864344
18073000 0.864375
18074000 0.864349
18075000 0.864325
18076000 0.864289
18077000 0.864236
18078000 0.864218
18079000 0.864158
18080000 0.864151
18081000 0.864101
18082000 0.864094
18083000 0.864092
18084000 0.864069
18085000 0.864025
18086000 0.863994
18087000 0.863975
18088000 0.863968
18089000 0.863967
18090000 0.863992
18091000 0.864006
18092000 0.864026
18093000 0.864055
18094000 0.864078
18095000 0.864114
18096000 0.864125
18097000 0.864119
18098000 0.864125
18099000 0.86415
18100000 0.864166
18101000 0.86419
18102000 0.864192
18103000 0.864197
18104000 0.864198
18105000 0.864215
18106000 0.864239
18107000 0.864259
18108000 0.864242
18109000 0.864234
18110000 0.864237
18111000 0.864243
18112000 0.864256
18113000 0.864266
18114000 0.864265
18115000 0.864277
18116000 0.864275
18117000 0.864295
18118000 0.864302
18119000 0.864301
18120000 0.864284
18121000 0.864282
18122000 0.864293
18123000 0.86429
18124000 0.864299
18125000 0.864308
18126000 0.864331
18127000 0.864321
18128000 0.864331
18129000 0.864335
18130000 0.864349
18131000 0.864378
18132000 0.864407
18133000 0.864416
18134000 0.86443
18135000 0.864453
18136000 0.864487
18137000 0.864504
18138000 0.864532
18139000 0.864571
18140000 0.864608
18141000 0.864622
18142000 0.86465
18143000 0.864672
18144000 0.864704
18145000 0.864738
18146000 0.864768
18147000 0.864799
18148000 0.864805
18149000 0.864803
18150000 0.864831
18151000 0.864861
18152000 0.86489
18153000 0.86492
18154000 0.864938
18155000 0.864961
18156000 0.864979
18157000 0.865
18158000 0.865021
18159000 0.865036
18160000 0.86506
18161000 0.865065
18162000 0.865087
18163000 0.865088
18164000 0.86511
18165000 0.865114
18166000 0.865129
18167000 0.865134
18168000 0.865125
18169000 0.865135
18170000 0.865149
18171000 0.865148
18172000 0.865158
18173000 0.865176
18174000 0.865194
18175000 0.865201
18176000 0.865218
18177000 0.865242
18178000 0.865262
18179000 0.865274
18180000 0.865302
18181000 0.865328
18182000 0.865344
18183000 0.865367
18184000 0.865382
18185000 0.865394
18186000 0.865399
18187000 0.865406
18188000 0.865412
18189000 0.865418
18190000 0.865413
18191000 0.865402
18192000 0.865383
18193000 0.865378
18194000 0.865373
18195000 0.865373
18196000 0.865382
18197000 0.865389
18198000 0.865401
18199000 0.865413
18200000 0.865412
18201000 0.865415
18202000 0.865421
18203000 0.86542
18204000 0.865423
18205000 0.865431
18206000 0.865431
18207000 0.865429
18208000 0.865433
18209000 0.865437
18210000 0.86544
18211000 0.865436
18212000 0.865433
18213000 0.865433
18214000 0.865436
18215000 0.865448
18216000 0.865464
18217000 0.865466
18218000 0.86548
18219000 0.865485
18220000 0.865485
18221000 0.865485
18222000 0.865495
18223000 0.865494
18224000 0.865488
18225000 0.865494
18226000 0.865491
18227000 0.865489
18228000 0.865488
18229000 0.865496
18230000 0.865502
18231000 0.865509
18232000 0.865505
18233000 0.865512
18234000 0.865506
18235000 0.8655
18236000 0.86549
18237000 0.865478
18238000 0.865469
18239000 0.865464
18240000 0.865454
18241000 0.865438
18242000 0.865423
18243000 0.865399
18244000 0.865381
