# Time-averaged data for fix pave
# TimeStep v_pressure
18001000 966.966
18002000 990.194
18003000 985.321
18004000 984.673
18005000 980.582
18006000 986.923
18007000 984.542
18008000 987.478
18009000 987.823
18010000 987.216
18011000 985.217
18012000 989.175
18013000 987.582
18014000 987.438
18015000 986.876
18016000 986.335
18017000 987.185
18018000 986.628
18019000 988.231
18020000 986.602
18021000 986.953
18022000 987.441
18023000 986.997
18024000 987.33
18025000 986.869
18026000 985.594
18027000 986.889
18028000 986.613
18029000 986.388
18030000 987.199
18031000 987.077
18032000 986.56
18033000 986.385
18034000 986.088
18035000 986.409
18036000 987.206
18037000 986.518
18038000 986.831
18039000 987.309
18040000 987.033
18041000 986.341
18042000 986.982
18043000 986.981
18044000 987.042
18045000 986.955
18046000 986.735
18047000 986.943
18048000 986.566
18049000 987.292
18050000 986.486
18051000 987.292
18052000 986.968
18053000 986.585
18054000 986.666
18055000 987.032
18056000 987.221
18057000 987.373
18058000 986.744
18059000 987.087
18060000 987.693
18061000 986.863
18062000 987.002
18063000 987.377
18064000 987.061
18065000 987.193
18066000 987.158
18067000 987.053
18068000 987.238
18069000 987.019
18070000 987.107
18071000 987.257
18072000 987.091
18073000 987.176
18074000 986.952
18075000 987.069
18076000 987.172
18077000 986.919
18078000 987.345
18079000 987.147
18080000 987.092
18081000 987.207
18082000 987.083
18083000 987.141
18084000 987.014
18085000 986.81
18086000 987.007
18087000 986.871
18088000 987.064
18089000 986.633
18090000 987.192
18091000 987.122
18092000 987.071
18093000 987.149
18094000 986.741
18095000 987.198
18096000 987.04
18097000 986.907
18098000 986.753
18099000 987.221
18100000 987.018
18101000 987.321
18102000 987.069
18103000 987.096
18104000 987.07
18105000 986.847
18106000 987.244
18107000 987.129
18108000 987.072
18109000 987.13
18110000 986.974
18111000 987.05
18112000 986.968
18113000 986.973
18114000 986.882
18115000 987.091
18116000 986.991
18117000 987.343
18118000 987.118
18119000 987.226
18120000 986.98
18121000 986.861
18122000 986.986
18123000 987.017
18124000 987.02
18125000 987.079
18126000 987.163
18127000 987.111
18128000 987.162
18129000 987.114
18130000 987.225
18131000 987.094
18132000 986.993
18133000 987.079
18134000 986.892
18135000 986.901
18136000 987.032
18137000 987.034
18138000 987.065
18139000 987.17
18140000 987.279
18141000 987.086
18142000 987.079
18143000 986.819
18144000 987.038
18145000 986.96
18146000 987.029
18147000 987.205
18148000 987.145
18149000 987.06
18150000 987.125
18151000 987.047
18152000 987.067
18153000 987.042
18154000 987.175
18155000 987.116
18156000 986.992
18157000 986.989
18158000 987.069
18159000 987.213
18160000 987.105
18161000 987.006
18162000 987.11
18163000 986.997
18164000 987.128
18165000 986.977
18166000 987.068
18167000 986.93
18168000 986.933
18169000 986.911
18170000 987.129
18171000 987.053
18172000 986.951
18173000 987.099
18174000 987.014
18175000 986.988
18176000 987.158
18177000 987.141
18178000 987.108
18179000 987.045
18180000 987.132
18181000 987.059
18182000 987.067
18183000 987.011
18184000 987.095
18185000 987.059
18186000 987.079
18187000 986.978
18188000 986.991
18189000 987.303
18190000 987.098
18191000 987.097
18192000 986.923
18193000 987.018
18194000 987.001
18195000 986.973
18196000 987.23
18197000 987.061
18198000 987.147
18199000 987.171
18200000 987.168
18201000 987.034
18202000 987.042
18203000 987.116
18204000 987.116
18205000 987.093
18206000 987.062
18207000 987.077
18208000 987.056
18209000 987.02
18210000 987.207
18211000 987.115
18212000 987.047
18213000 987.13
18214000 987.079
18215000 987.031
18216000 987.179
18217000 987.04
18218000 987.208
18219000 987.026
18220000 987.05
18221000 986.981
18222000 987.188
18223000 987.068
18224000 987.149
18225000 987.046
18226000 987.16
18227000 987.115
18228000 987.088
18229000 987.137
18230000 987.012
18231000 987.156
18232000 987.061
18233000 987.128
18234000 987.098
18235000 987.153
18236000 987.094
18237000 987.032
18238000 987.015
18239000 987.034
18240000 987.08
18241000 987.134
18242000 987.127
18243000 987.116
18244000 987.102
18245000 987.065
18246000 987.209
18247000 987.179
18248000 987.011
18249000 987.111
18250000 987.144
18251000 987.156
18252000 987.171
18253000 987.149
18254000 987.149
18255000 987.137
18256000 987.092
18257000 987.086
18258000 987.028
18259000 987.131
18260000 987.152
18261000 987.102
18262000 987.154
18263000 987.159
18264000 987.152
18265000 987.091
18266000 987.049
18267000 987.197
18268000 987.149
18269000 987.172
18270000 987.151
18271000 987.089
18272000 987.159
18273000 987.032
18274000 987.137
18275000 987.14
18276000 987.085
18277000 987.041
18278000 987.093
18279000 987.086
18280000 987.152
18281000 987.157
18282000 987.1
18283000 987.076
18284000 987.129
18285000 987.206
18286000 987.115
18287000 987.107
18288000 987.164
18289000 987.09
18290000 987.082
18291000 987.101
18292000 987.046
18293000 987.208
18294000 987.08
18295000 987.127
18296000 987.116
18297000 987.191
18298000 987.041
18299000 987.114
18300000 987.099
18301000 987.082
18302000 987.084
18303000 987.185
18304000 987.055
18305000 987.125
18306000 987.085
18307000 987.13
18308000 987.09
18309000 987.048
18310000 987.223
18311000 987.134
18312000 987.082
18313000 987.035
18314000 987.098
18315000 987.085
18316000 987.134
18317000 987.073
18318000 987.112
18319000 987.116
18320000 987.044
18321000 987.109
18322000 987.066
18323000 987.118
18324000 987.112
18325000 987.115
18326000 987.077
