# Time-averaged data for fix tave
# TimeStep v_temperature
18001000 291.699
18002000 291.842
18003000 292.056
18004000 292.242
18005000 292.662
18006000 292.666
18007000 292.46
18008000 292.474
18009000 292.431
18010000 292.481
18011000 292.473
18012000 292.561
18013000 292.712
18014000 292.713
18015000 292.722
18016000 292.811
18017000 292.794
18018000 292.764
18019000 292.842
18020000 292.908
18021000 292.93
18022000 292.933
18023000 292.86
18024000 292.894
18025000 292.938
18026000 292.975
18027000 292.989
18028000 292.951
18029000 292.997
18030000 292.996
18031000 292.954
18032000 292.895
18033000 292.885
18034000 292.888
18035000 292.919
18036000 292.951
18037000 292.972
18038000 292.983
18039000 292.986
18040000 293.032
18041000 293.062
18042000 293.074
18043000 293.068
18044000 293.055
18045000 293.03
18046000 293.047
18047000 293.074
18048000 293.09
18049000 293.073
18050000 293.081
18051000 293.092
18052000 293.095
18053000 293.1
18054000 293.077
18055000 293.048
18056000 293.082
18057000 293.078
18058000 293.066
18059000 293.099
18060000 293.112
18061000 293.128
18062000 293.131
18063000 293.135
18064000 293.125
18065000 293.096
18066000 293.109
18067000 293.106
18068000 293.099
18069000 293.096
18070000 293.1
18071000 293.095
18072000 293.061
18073000 293.063
18074000 293.074
18075000 293.074
18076000 293.067
18077000 293.094
18078000 293.097
18079000 293.097
18080000 293.074
18081000 293.061
18082000 293.074
18083000 293.081
18084000 293.052
18085000 293.05
18086000 293.044
18087000 293.037
18088000 293.033
18089000 293.035
18090000 293.034
18091000 293.045
18092000 293.041
18093000 293.037
18094000 293.054
18095000 293.046
18096000 293.068
18097000 293.076
18098000 293.09
18099000 293.093
18100000 293.075
18101000 293.074
18102000 293.084
18103000 293.1
18104000 293.112
18105000 293.119
18106000 293.124
18107000 293.123
18108000 293.126
18109000 293.134
18110000 293.136
18111000 293.135
18112000 293.136
18113000 293.137
18114000 293.129
18115000 293.135
18116000 293.137
18117000 293.12
18118000 293.114
18119000 293.108
18120000 293.109
18121000 293.087
18122000 293.08
18123000 293.079
18124000 293.082
18125000 293.091
18126000 293.094
18127000 293.1
18128000 293.108
18129000 293.106
18130000 293.12
18131000 293.12
18132000 293.116
18133000 293.122
18134000 293.124
18135000 293.127
18136000 293.132
18137000 293.143
18138000 293.146
18139000 293.153
18140000 293.144
18141000 293.133
18142000 293.125
18143000 293.114
18144000 293.099
18145000 293.098
18146000 293.089
18147000 293.089
18148000 293.076
18149000 293.068
18150000 293.079
18151000 293.077
18152000 293.06
18153000 293.058
18154000 293.071
18155000 293.075
18156000 293.079
18157000 293.087
18158000 293.08
18159000 293.071
18160000 293.072
18161000 293.058
18162000 293.057
18163000 293.056
18164000 293.052
18165000 293.052
18166000 293.05
18167000 293.054
18168000 293.05
18169000 293.05
18170000 293.049
18171000 293.059
18172000 293.053
18173000 293.052
18174000 293.052
18175000 293.059
18176000 293.061
18177000 293.062
18178000 293.064
18179000 293.073
18180000 293.076
18181000 293.082
18182000 293.077
18183000 293.074
18184000 293.073
18185000 293.076
18186000 293.08
18187000 293.088
18188000 293.091
18189000 293.091
18190000 293.091
18191000 293.089
18192000 293.089
18193000 293.089
18194000 293.092
18195000 293.09
18196000 293.086
18197000 293.087
18198000 293.083
18199000 293.075
18200000 293.08
18201000 293.08
18202000 293.074
18203000 293.075
18204000 293.07
18205000 293.073
18206000 293.075
18207000 293.072
18208000 293.069
18209000 293.065
18210000 293.064
18211000 293.068
