# Time-averaged data for fix pave
# TimeStep v_pressure
13001000 880.554
13002000 833.955
13003000 849.592
13004000 866.568
13005000 883.07
13006000 897.716
13007000 897.852
13008000 902.17
13009000 899.682
13010000 899.511
13011000 899.955
13012000 896.5
13013000 895.409
13014000 893.663
13015000 890.061
13016000 887.434
13017000 892.55
13018000 901.853
13019000 902.143
13020000 903.988
13021000 905.846
13022000 906.621
13023000 907.746
13024000 909.958
13025000 911.646
13026000 910.394
13027000 910.17
13028000 908.981
13029000 905.085
13030000 903.256
13031000 903.039
13032000 903.3
13033000 901.807
13034000 901.316
13035000 899.23
13036000 898.369
13037000 899.349
13038000 900.329
13039000 899.654
13040000 899.926
13041000 900.861
13042000 904.195
13043000 906.165
13044000 908.008
13045000 908.69
13046000 907.461
13047000 906.371
13048000 905.321
13049000 905.985
13050000 906.243
13051000 905.828
13052000 905.234
13053000 907.364
13054000 909.13
13055000 909.628
13056000 909.767
13057000 910.794
13058000 910.573
13059000 912.185
13060000 913.755
13061000 913
13062000 912.35
13063000 914.767
13064000 914.797
13065000 914.305
13066000 913.766
13067000 913.95
13068000 914.043
13069000 913.649
13070000 915.435
13071000 916.908
13072000 919.059
13073000 920.994
13074000 922.287
13075000 923.391
13076000 923.253
13077000 923.498
13078000 924.24
13079000 924.462
13080000 923.467
13081000 922.071
13082000 921.711
13083000 921.031
13084000 920.749
13085000 920.723
13086000 919.9
13087000 919.969
13088000 920.517
13089000 920.718
13090000 921.201
13091000 921.43
13092000 921.357
13093000 921.831
13094000 922.104
13095000 922.304
13096000 923.159
13097000 923.938
13098000 925.656
13099000 927.617
13100000 927.973
13101000 928.406
13102000 929.219
13103000 929.468
13104000 929.347
13105000 929.209
13106000 930.072
13107000 929.822
13108000 930.84
13109000 930.353
13110000 930.818
13111000 931.021
13112000 930.402
13113000 929.818
13114000 930.608
13115000 930.342
13116000 930.574
13117000 929.904
13118000 929.72
13119000 929.283
13120000 929.251
13121000 928.82
13122000 928.956
13123000 928.984
13124000 928.274
13125000 928.391
13126000 928.279
13127000 928.406
13128000 928.056
13129000 928.332
13130000 927.986
13131000 927.608
13132000 927.875
13133000 929.033
13134000 929.661
13135000 929.875
13136000 930.66
13137000 930.87
13138000 931.541
13139000 931.816
13140000 930.96
13141000 931.04
13142000 929.942
13143000 929.479
13144000 929.248
13145000 929.048
13146000 928.528
13147000 928.403
13148000 928.149
13149000 928.283
13150000 927.475
13151000 927.049
13152000 927.208
13153000 927.148
13154000 927.593
13155000 927.819
13156000 928.455
13157000 929.165
13158000 929.489
13159000 929.553
13160000 929.966
13161000 929.762
13162000 929.367
13163000 929.029
13164000 928.974
13165000 928.808
13166000 929.066
13167000 929.294
13168000 929.65
13169000 929.685
13170000 930.137
13171000 930.803
13172000 930.862
13173000 931.931
13174000 932.237
13175000 932.629
13176000 933.562
13177000 933.913
13178000 934.675
13179000 934.318
13180000 934.217
13181000 934.694
13182000 934.953
13183000 935.467
13184000 935.818
13185000 935.765
13186000 935.494
13187000 935.483
13188000 935.299
13189000 935.122
13190000 935.103
13191000 934.808
13192000 935.004
13193000 934.752
13194000 934.825
13195000 935.151
13196000 935.152
13197000 935.111
13198000 934.723
13199000 934.955
13200000 935.185
13201000 935.234
13202000 935.384
13203000 935.228
13204000 935.216
13205000 935.786
13206000 936.348
13207000 936.413
13208000 936.049
13209000 935.602
13210000 935.753
13211000 935.867
13212000 935.944
13213000 936.324
13214000 936.124
13215000 936.179
13216000 936.333
13217000 936.239
13218000 936.268
13219000 936.591
13220000 936.741
13221000 936.607
13222000 936.711
13223000 937.064
13224000 936.93
13225000 936.331
13226000 935.925
13227000 935.586
