# Time-averaged data for fix tave
# TimeStep v_temperature
13001000 292.168
13002000 292.222
13003000 292.446
13004000 292.447
13005000 292.33
13006000 292.732
13007000 292.604
13008000 292.732
13009000 292.91
13010000 292.999
13011000 292.976
13012000 292.832
13013000 292.802
13014000 292.839
13015000 292.814
13016000 292.885
13017000 292.928
13018000 293.012
13019000 293.008
13020000 293.051
13021000 292.953
13022000 292.99
13023000 292.934
13024000 292.928
13025000 292.876
13026000 292.8
13027000 292.77
13028000 292.762
13029000 292.771
13030000 292.799
13031000 292.84
13032000 292.866
13033000 292.902
13034000 292.909
13035000 292.918
13036000 292.906
13037000 292.892
13038000 292.941
13039000 292.967
13040000 292.936
13041000 292.927
13042000 292.925
13043000 292.926
13044000 292.901
13045000 292.865
13046000 292.864
13047000 292.859
13048000 292.825
13049000 292.848
13050000 292.854
13051000 292.857
13052000 292.879
13053000 292.87
13054000 292.873
13055000 292.855
13056000 292.821
13057000 292.824
13058000 292.813
13059000 292.837
13060000 292.825
13061000 292.833
13062000 292.848
13063000 292.846
13064000 292.835
13065000 292.828
13066000 292.831
13067000 292.842
13068000 292.848
13069000 292.833
13070000 292.833
13071000 292.86
13072000 292.875
13073000 292.878
13074000 292.887
13075000 292.875
13076000 292.857
13077000 292.848
13078000 292.846
13079000 292.866
13080000 292.857
13081000 292.866
13082000 292.885
13083000 292.894
13084000 292.903
13085000 292.912
13086000 292.908
13087000 292.916
13088000 292.922
13089000 292.935
13090000 292.913
13091000 292.914
13092000 292.908
13093000 292.898
13094000 292.913
13095000 292.883
13096000 292.885
13097000 292.875
13098000 292.89
13099000 292.899
13100000 292.891
13101000 292.875
13102000 292.872
13103000 292.864
13104000 292.882
13105000 292.883
13106000 292.87
13107000 292.862
13108000 292.866
13109000 292.853
13110000 292.848
13111000 292.84
13112000 292.826
13113000 292.824
13114000 292.836
13115000 292.842
13116000 292.851
13117000 292.864
13118000 292.865
13119000 292.878
13120000 292.875
13121000 292.879
13122000 292.865
13123000 292.867
13124000 292.854
13125000 292.854
13126000 292.842
13127000 292.836
13128000 292.847
13129000 292.849
13130000 292.851
13131000 292.85
13132000 292.851
13133000 292.846
13134000 292.841
13135000 292.848
13136000 292.848
13137000 292.837
13138000 292.844
13139000 292.849
13140000 292.836
13141000 292.843
13142000 292.841
13143000 292.844
13144000 292.838
13145000 292.841
13146000 292.837
13147000 292.829
13148000 292.829
13149000 292.831
13150000 292.827
13151000 292.82
13152000 292.819
13153000 292.813
13154000 292.811
13155000 292.811
13156000 292.818
13157000 292.821
13158000 292.826
13159000 292.816
13160000 292.822
13161000 292.83
13162000 292.83
13163000 292.825
13164000 292.821
13165000 292.829
13166000 292.831
13167000 292.825
13168000 292.83
13169000 292.834
13170000 292.826
13171000 292.823
13172000 292.826
13173000 292.824
13174000 292.827
13175000 292.833
13176000 292.84
13177000 292.845
13178000 292.849
13179000 292.852
13180000 292.846
13181000 292.851
13182000 292.854
13183000 292.846
13184000 292.848
13185000 292.856
13186000 292.854
13187000 292.851
13188000 292.848
13189000 292.847
13190000 292.857
13191000 292.858
13192000 292.859
13193000 292.85
13194000 292.858
13195000 292.853
13196000 292.849
13197000 292.848
13198000 292.853
13199000 292.86
13200000 292.861
13201000 292.863
13202000 292.857
13203000 292.861
13204000 292.867
13205000 292.872
13206000 292.874
13207000 292.87
13208000 292.871
13209000 292.866
13210000 292.867
13211000 292.873
13212000 292.873
13213000 292.867
13214000 292.866
13215000 292.87
13216000 292.87
13217000 292.871
13218000 292.875
13219000 292.876
13220000 292.874
13221000 292.867
13222000 292.869
13223000 292.866
13224000 292.861
13225000 292.864
13226000 292.86
13227000 292.855
13228000 292.859
13229000 292.865
13230000 292.861
13231000 292.86
13232000 292.863
13233000 292.871
13234000 292.876
13235000 292.88
13236000 292.882
13237000 292.883
13238000 292.879
13239000 292.877
13240000 292.875
13241000 292.873
13242000 292.871
13243000 292.877
13244000 292.88
13245000 292.885
13246000 292.886
13247000 292.885
13248000 292.883
13249000 292.882
13250000 292.875
13251000 292.882
13252000 292.883
13253000 292.882
13254000 292.882
13255000 292.872
13256000 292.877
13257000 292.873
13258000 292.87
13259000 292.865
13260000 292.861
13261000 292.855
13262000 292.855
13263000 292.857
13264000 292.858
13265000 292.86
13266000 292.859
13267000 292.862
13268000 292.856
13269000 292.86
13270000 292.858
13271000 292.858
13272000 292.866
13273000 292.861
13274000 292.856
13275000 292.856
13276000 292.861
13277000 292.864
13278000 292.867
13279000 292.869
13280000 292.867
13281000 292.865
13282000 292.872
13283000 292.873
13284000 292.881
13285000 292.881
13286000 292.875
13287000 292.878
13288000 292.881
13289000 292.874
13290000 292.87
13291000 292.868
13292000 292.874
13293000 292.873
13294000 292.874
13295000 292.869
13296000 292.869
13297000 292.868
13298000 292.87
13299000 292.865
13300000 292.866
13301000 292.87
13302000 292.875
13303000 292.88
13304000 292.882
13305000 292.883
13306000 292.884
13307000 292.879
13308000 292.881
13309000 292.879
13310000 292.876
13311000 292.874
13312000 292.875
13313000 292.876
13314000 292.875
13315000 292.872
13316000 292.868
13317000 292.871
13318000 292.875
13319000 292.875
13320000 292.872
13321000 292.867
13322000 292.87
13323000 292.868
13324000 292.869
13325000 292.862
13326000 292.863
13327000 292.865
13328000 292.866
13329000 292.866
13330000 292.87
13331000 292.872
13332000 292.87
13333000 292.867
13334000 292.867
13335000 292.866
13336000 292.864
13337000 292.858
13338000 292.858
13339000 292.854
13340000 292.849
13341000 292.852
13342000 292.852
13343000 292.852
13344000 292.855
13345000 292.858
13346000 292.856
13347000 292.853
13348000 292.858
13349000 292.861
13350000 292.859
13351000 292.855
13352000 292.858
13353000 292.86
13354000 292.865
13355000 292.863
13356000 292.864
13357000 292.863
13358000 292.862
13359000 292.866
13360000 292.865
13361000 292.866
13362000 292.864
13363000 292.863
13364000 292.86
13365000 292.862
13366000 292.863
13367000 292.862
13368000 292.86
13369000 292.864
13370000 292.866
13371000 292.868
13372000 292.873
13373000 292.874
13374000 292.878
13375000 292.88
13376000 292.88
13377000 292.879
13378000 292.872
13379000 292.872
13380000 292.868
13381000 292.866
13382000 292.869
13383000 292.864
13384000 292.862
13385000 292.861
13386000 292.86
13387000 292.859
13388000 292.857
13389000 292.86
13390000 292.858
13391000 292.856
13392000 292.855
13393000 292.854
13394000 292.853
13395000 292.851
13396000 292.852
13397000 292.852
13398000 292.855
13399000 292.858
13400000 292.858
13401000 292.856
13402000 292.853
13403000 292.854
13404000 292.853
13405000 292.852
13406000 292.853
13407000 292.855
13408000 292.855
13409000 292.853
13410000 292.854
13411000 292.851
13412000 292.848
13413000 292.846
13414000 292.846
13415000 292.848
13416000 292.845
13417000 292.847
13418000 292.849
13419000 292.853
13420000 292.851
13421000 292.85
13422000 292.848
13423000 292.844
13424000 292.846
13425000 292.848
13426000 292.844
13427000 292.849
13428000 292.849
13429000 292.851
13430000 292.848
13431000 292.849
13432000 292.851
13433000 292.852
13434000 292.853
13435000 292.851
13436000 292.847
13437000 292.846
13438000 292.847
13439000 292.847
13440000 292.848
13441000 292.851
13442000 292.85
13443000 292.851
13444000 292.85
13445000 292.849
13446000 292.845
13447000 292.847
13448000 292.845
13449000 292.846
13450000 292.845
13451000 292.843
13452000 292.844
13453000 292.845
13454000 292.848
13455000 292.848
13456000 292.848
13457000 292.844
13458000 292.847
13459000 292.845
13460000 292.846
13461000 292.847
13462000 292.841
13463000 292.843
13464000 292.843
13465000 292.845
13466000 292.846
13467000 292.847
13468000 292.846
13469000 292.843
13470000 292.846
13471000 292.847
13472000 292.848
13473000 292.846
13474000 292.844
13475000 292.844
13476000 292.841
13477000 292.843
13478000 292.84
13479000 292.841
13480000 292.837
13481000 292.838
13482000 292.834
13483000 292.833
13484000 292.834
13485000 292.835
13486000 292.836
13487000 292.833
13488000 292.834
13489000 292.834
13490000 292.835
13491000 292.833
13492000 292.834
13493000 292.835
13494000 292.833
13495000 292.834
13496000 292.83
13497000 292.829
13498000 292.829
13499000 292.827
13500000 292.829
13501000 292.831
13502000 292.831
13503000 292.831
13504000 292.829
13505000 292.827
13506000 292.824
13507000 292.824
13508000 292.822
13509000 292.821
13510000 292.82
13511000 292.819
13512000 292.816
13513000 292.819
13514000 292.82
13515000 292.822
13516000 292.822
13517000 292.825
13518000 292.827
13519000 292.828
13520000 292.832
13521000 292.83
13522000 292.832
13523000 292.831
