# Time-averaged data for fix pave
# TimeStep v_pressure
279002000 864.025
279003000 840.562
279004000 837.548
279005000 857.914
279006000 897.776
279007000 903.644
279008000 904.781
279009000 904.561
279010000 898.272
279011000 891.775
279012000 890.448
279013000 885.319
279014000 886.483
279015000 888.644
279016000 896.674
279017000 905.103
279018000 910.125
279019000 910.656
279020000 909.301
279021000 905.683
279022000 907.462
279023000 908.24
279024000 914.111
279025000 918.174
279026000 921.653
279027000 919.941
279028000 923.726
279029000 923.705
279030000 924.673
279031000 924.447
279032000 926.731
279033000 928.477
279034000 928.34
279035000 929.551
279036000 930.985
279037000 930.942
279038000 931.827
279039000 935.133
279040000 937.861
279041000 940.522
279042000 941.458
279043000 943.077
279044000 944.925
279045000 945.547
279046000 946.348
279047000 948.131
279048000 949.872
279049000 952.755
279050000 953.307
279051000 953.411
279052000 954.481
279053000 954.662
279054000 957.498
279055000 955.896
279056000 955.53
279057000 953.948
279058000 952.854
279059000 953.483
279060000 953.529
279061000 953.134
279062000 953.507
279063000 955.669
279064000 955.967
279065000 955.413
279066000 955.307
279067000 955.36
279068000 957.003
279069000 957.178
279070000 957.471
279071000 958.533
279072000 959.8
279073000 961.165
279074000 963.292
279075000 966.141
279076000 966.638
279077000 968.674
279078000 970.257
279079000 970.034
279080000 972.136
279081000 974.072
279082000 973.976
279083000 975.845
279084000 977.476
279085000 978.668
279086000 978.239
279087000 978.674
279088000 978.547
279089000 979.222
279090000 980.631
279091000 982.048
279092000 982.753
279093000 983.993
279094000 985.935
279095000 987.121
279096000 987.942
279097000 989.298
279098000 990.431
279099000 991.03
279100000 991.992
279101000 993.939
279102000 994.794
279103000 995.038
279104000 996.342
279105000 997.557
279106000 998.295
279107000 999.241
279108000 1000.76
279109000 1002.02
279110000 1002.83
279111000 1004.33
279112000 1005.42
279113000 1005.63
279114000 1004.86
279115000 1005.48
279116000 1006.35
279117000 1006.05
279118000 1006.52
279119000 1007.04
279120000 1007.88
279121000 1008.37
279122000 1010.18
279123000 1010.56
279124000 1011.22
279125000 1011.46
279126000 1012.02
279127000 1012.89
279128000 1013.24
279129000 1013.98
279130000 1014.67
279131000 1015.19
279132000 1016.5
279133000 1016.85
279134000 1017.33
279135000 1018.18
279136000 1019.35
279137000 1019.34
279138000 1019.41
279139000 1018.93
279140000 1018.66
279141000 1018.91
279142000 1018.52
279143000 1018.24
279144000 1018.71
279145000 1018.92
279146000 1018.7
279147000 1018.53
279148000 1018.87
279149000 1019.55
279150000 1020
279151000 1019.59
279152000 1019.53
279153000 1019.74
279154000 1019.95
279155000 1019.83
279156000 1019.47
279157000 1019.32
279158000 1019.04
279159000 1018.29
279160000 1017.85
279161000 1017.78
279162000 1017.87
279163000 1017.39
279164000 1016.56
279165000 1016.58
279166000 1016.19
279167000 1015.95
279168000 1015.21
279169000 1014.38
279170000 1014.09
279171000 1013.76
279172000 1012.91
279173000 1012.26
279174000 1011.94
279175000 1012
279176000 1011.85
279177000 1011.1
279178000 1010.82
279179000 1010.27
279180000 1009.23
279181000 1008.7
279182000 1007.6
279183000 1006.83
279184000 1006.02
279185000 1005.35
279186000 1004.84
279187000 1004.7
279188000 1004.08
279189000 1003.8
279190000 1003.06
279191000 1002.63
279192000 1001.55
279193000 1000.85
279194000 1000.5
279195000 999.605
279196000 999.131
279197000 998.019
279198000 997.569
279199000 996.706
279200000 995.923
279201000 994.988
279202000 994.376
279203000 993.736
279204000 993.235
279205000 992.497
279206000 991.872
279207000 991.901
279208000 992.078
279209000 991.694
279210000 991.541
279211000 991.574
279212000 991.769
279213000 991.68
279214000 991.686
279215000 991.756
279216000 991.575
279217000 991.153
279218000 990.657
279219000 990.271
279220000 990.044
279221000 990.062
279222000 989.488
279223000 989.571
279224000 989.51
279225000 989.343
279226000 989.11
279227000 989.301
279228000 989.362
279229000 989.28
279230000 988.689
279231000 988.277
279232000 988.179
279233000 988.168
279234000 988.262
279235000 987.871
279236000 987.483
279237000 987.46
279238000 987.29
279239000 987.284
279240000 987.636
279241000 988.054
279242000 988.051
279243000 988.093
279244000 988.279
279245000 988.41
279246000 988.112
279247000 988.207
279248000 988.684
279249000 988.527
279250000 988.397
279251000 988.296
279252000 987.802
279253000 987.198
279254000 987.129
279255000 986.858
279256000 986.808
279257000 986.696
279258000 986.369
279259000 986.17
279260000 985.98
279261000 985.932
279262000 986.355
279263000 986.137
279264000 986.449
279265000 986.54
279266000 986.705
279267000 986.662
279268000 986.638
279269000 986.911
279270000 987.114
279271000 987.039
279272000 987.117
279273000 987.531
279274000 987.969
279275000 988.464
279276000 989.149
279277000 989.665
279278000 989.899
279279000 990.257
279280000 990.588
279281000 991.052
279282000 991.411
279283000 991.675
279284000 992.118
279285000 992.946
279286000 993.313
279287000 993.368
279288000 993.698
279289000 994.16
279290000 994.559
279291000 994.74
279292000 994.655
279293000 994.934
279294000 995.109
279295000 995.28
279296000 995.168
279297000 995.088
279298000 994.938
279299000 995.35
279300000 995.408
279301000 995.79
279302000 995.913
279303000 995.983
279304000 996.094
279305000 996.296
279306000 996.402
279307000 996.776
279308000 996.792
279309000 996.715
279310000 996.931
279311000 996.757
279312000 996.828
279313000 996.711
279314000 996.755
279315000 996.77
279316000 996.67
279317000 996.58
279318000 996.998
279319000 997.134
279320000 996.72
279321000 996.613
279322000 996.371
279323000 996.605
279324000 996.744
279325000 996.6
279326000 996.604
279327000 996.943
279328000 997.509
279329000 997.88
279330000 997.825
279331000 997.808
279332000 997.814
279333000 998.002
279334000 998.096
279335000 998.225
279336000 998.502
279337000 998.569
279338000 998.284
279339000 997.903
279340000 997.818
279341000 998.06
279342000 998.245
279343000 998.564
279344000 998.525
279345000 998.303
279346000 998.246
279347000 998.152
279348000 998.265
279349000 998.237
279350000 998.15
279351000 997.996
279352000 998.151
279353000 997.985
279354000 997.877
279355000 997.784
279356000 997.666
279357000 997.658
279358000 997.802
