# Spatial-averaged data for fix vpave and group all
# Timestep Number-of-bins
# Bin Coord Ncount vx
10000000 20
  1 0.025 190.608 5.25748e-05
  2 0.075 186.752 6.67656e-05
  3 0.125 187.227 7.30653e-05
  4 0.175 187.79 9.82987e-05
  5 0.225 187.083 9.75871e-05
  6 0.275 187.242 0.000114353
  7 0.325 186.412 0.000122886
  8 0.375 188.786 0.000139304
  9 0.425 184.921 0.000149179
  10 0.475 188.195 0.000158005
  11 0.525 188.706 0.000175651
  12 0.575 187.214 0.000186796
  13 0.625 186.615 0.000195985
  14 0.675 187.195 0.000215359
  15 0.725 186.562 0.000219529
  16 0.775 189.802 0.000238897
  17 0.825 186.513 0.000248624
  18 0.875 186.566 0.00025476
  19 0.925 188.029 0.000274563
  20 0.975 187.782 0.000285532
15000000 20
  1 0.025 189.29 2.52918e-05
  2 0.075 186.792 3.11952e-05
  3 0.125 188.513 5.62283e-05
  4 0.175 187.548 6.45821e-05
  5 0.225 188.275 6.54735e-05
  6 0.275 187.37 8.62985e-05
  7 0.325 188.164 9.91078e-05
  8 0.375 184.691 0.000106334
  9 0.425 187.693 0.000119574
  10 0.475 188.405 0.000127962
  11 0.525 186.525 0.00014055
  12 0.575 190.356 0.000146324
  13 0.625 187.908 0.000160521
  14 0.675 187.57 0.000182576
  15 0.725 186.783 0.000184677
  16 0.775 184.697 0.000197793
  17 0.825 187.778 0.00022167
  18 0.875 186.557 0.000233971
  19 0.925 189.815 0.000241235
  20 0.975 185.27 0.000251395
20000000 20
  1 0.025 184.543 8.57741e-06
  2 0.075 189.081 2.24992e-05
  3 0.125 185.305 3.60714e-05
  4 0.175 189.1 5.56242e-05
  5 0.225 187.753 6.74115e-05
  6 0.275 188.311 6.76811e-05
  7 0.325 187.961 7.82998e-05
  8 0.375 187.334 9.60136e-05
  9 0.425 186.99 0.000112818
  10 0.475 186.825 0.000123749
  11 0.525 187.559 0.000126719
  12 0.575 187.751 0.000131296
  13 0.625 187.202 0.000156672
  14 0.675 188.506 0.000164541
  15 0.725 186.217 0.000175924
  16 0.775 187.759 0.000185548
  17 0.825 187.449 0.000196111
  18 0.875 187.341 0.000213184
  19 0.925 187.436 0.000230256
  20 0.975 189.579 0.000232537
25000000 20
  1 0.025 188.734 9.40994e-06
  2 0.075 187.385 2.29664e-05
  3 0.125 189.777 4.14117e-05
  4 0.175 186.231 3.89396e-05
  5 0.225 187.945 4.73131e-05
  6 0.275 186.404 7.1803e-05
  7 0.325 187.349 7.76857e-05
  8 0.375 187.811 8.69409e-05
  9 0.425 189.807 0.000100321
  10 0.475 186.152 0.000112816
  11 0.525 187.071 0.00012317
  12 0.575 187.657 0.000139375
  13 0.625 188.201 0.000146164
  14 0.675 186.019 0.000159928
  15 0.725 188.565 0.000172451
  16 0.775 187.036 0.000177328
  17 0.825 188.237 0.000198352
  18 0.875 186.087 0.00021292
  19 0.925 189.195 0.00022475
  20 0.975 184.335 0.00023514
30000000 20
  1 0.025 184.978 6.89371e-06
  2 0.075 187.633 9.68827e-06
  3 0.125 187.843 2.87016e-05
  4 0.175 186.087 3.78782e-05
  5 0.225 186.864 4.27021e-05
  6 0.275 187.412 6.46926e-05
  7 0.325 186.877 7.48327e-05
  8 0.375 187.407 8.94236e-05
  9 0.425 186.76 0.000113302
  10 0.475 186.209 0.000111608
  11 0.525 189.136 0.000122103
  12 0.575 187.687 0.000140119
  13 0.625 189.208 0.000154816
  14 0.675 185.992 0.000158727
  15 0.725 189.876 0.000177819
  16 0.775 185.26 0.000190778
  17 0.825 186.446 0.00019484
  18 0.875 186.724 0.000209523
  19 0.925 189.276 0.000221911
  20 0.975 192.324 0.000230203
35000000 20
  1 0.025 189.416 7.76889e-06
  2 0.075 186.901 1.49822e-05
  3 0.125 185.469 2.6925e-05
  4 0.175 186.406 4.56553e-05
  5 0.225 188.339 5.69908e-05
  6 0.275 188.989 6.43875e-05
  7 0.325 186.398 7.35826e-05
  8 0.375 190.74 8.50178e-05
  9 0.425 186.148 9.22326e-05
  10 0.475 185.159 0.000112358
  11 0.525 186.939 0.000125787
  12 0.575 189.429 0.000144187
  13 0.625 187.262 0.00014309
  14 0.675 185.635 0.000162835
  15 0.725 190.017 0.000177135
  16 0.775 186.158 0.000192735
  17 0.825 188.394 0.000191481
  18 0.875 185.252 0.000202338
  19 0.925 190.011 0.000229319
  20 0.975 186.941 0.000229935
40000000 20
  1 0.025 189.015 6.13645e-06
  2 0.075 187.176 1.254e-05
  3 0.125 186.526 3.0142e-05
  4 0.175 187.373 3.65918e-05
  5 0.225 187.251 5.4376e-05
  6 0.275 187.059 5.98047e-05
  7 0.325 189.02 7.61736e-05
  8 0.375 187.604 8.1521e-05
  9 0.425 188.848 0.000100705
  10 0.475 185.67 0.00011178
  11 0.525 186.11 0.000124525
  12 0.575 187.914 0.000141388
  13 0.625 186.964 0.000150773
  14 0.675 187.827 0.000170841
  15 0.725 188.358 0.00017753
  16 0.775 188.419 0.000177857
  17 0.825 186.356 0.000200268
  18 0.875 189.448 0.00021286
  19 0.925 185.082 0.000215813
  20 0.975 187.979 0.000235158
